case,n,seed,P,precision,near_radius2,K_max,virtual_depth,sigma_classes,route,contact_orbit,refinement_depth,routes,body_pairs,mean_target_occupancy,mean_source_occupancy,max_target_occupancy,max_source_occupancy,source_timing_record
wake,2048,41003,8,Float64,5,32,1,1,M2T,sigma_demoted_outer,1,1006,1278,1.131213,1.131213,9,9,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,corner,0,166,166,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,corner,1,5800,18244,1.761897,1.761897,16,16,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,edge,0,326,326,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,edge,1,12486,49130,1.878984,1.878984,16,16,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,face,0,232,232,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,face,1,10152,55932,2.186466,2.186466,16,16,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,outer_0_0_1,0,786,786,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,outer_0_0_1,1,29974,107864,1.855908,1.855908,16,16,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,self,0,148,148,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,self,1,2583,22720,2.356949,2.356949,16,16,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,sigma_demoted_outer,0,20246,20246,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,direct,sigma_demoted_outer,1,847232,3917136,2.166575,2.166575,16,16,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,M2T,sigma_demoted_outer,0,24,96,2.000000,2.000000,3,3,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,M2T,sigma_demoted_outer,1,1006,1278,1.131213,1.131213,9,9,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,M2T,sigma_demoted_outer,2,550,658,1.094545,1.094545,6,6,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,corner,0,166,166,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,corner,1,3538,3538,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,corner,2,5704,14706,1.659362,1.659362,11,11,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,edge,0,326,326,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,edge,1,7214,7214,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,edge,2,15006,41916,1.681927,1.681927,11,11,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,face,0,232,232,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,face,1,4896,4896,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,face,2,16414,51036,1.743755,1.743755,11,11,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,outer_0_0_1,0,786,786,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,outer_0_0_1,1,16698,16698,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,outer_0_0_1,2,35620,91166,1.619006,1.619006,11,11,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,self,0,148,148,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,self,1,1306,1306,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,self,2,5299,21414,1.913002,1.913002,11,11,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,sigma_demoted_outer,0,20246,20246,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,sigma_demoted_outer,1,408652,408652,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,2,1,direct,sigma_demoted_outer,2,1275708,3507826,1.697471,1.697471,11,11,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,2,1,M2T,sigma_demoted_outer,0,24,96,2.000000,2.000000,3,3,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,2,1,M2T,sigma_demoted_outer,1,1006,1278,1.131213,1.131213,9,9,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,2,1,M2T,sigma_demoted_outer,2,550,658,1.094545,1.094545,6,6,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,2,1,direct,corner,0,166,166,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
