job,case,n,K,precision,P,shape,status,fused_engaged,t_cold_s,mem_gb,t_near_ms,t_life_ms,t_life_serial_ms,t_update_ms,vel_rel_rms,n_leaves,n_u,route_uploads,operator_uploads,expansion_host_copies,route_flat,operator_flat
13193492,sigma_multiscale,100000,64,Float32,4,pairs,ok,false,4.534,2.625,3.1601,29.16,28.912,2.484,3.930e-04,5817,729830,2,4,0,true,true
13193492,sigma_multiscale,100000,64,Float32,4,fused_cta,ok,true,0.088,2.625,6.9771,29.292,32.538,2.343,3.930e-04,5817,729830,2,4,0,true,true
13193492,sigma_multiscale,100000,64,Float32,4,fused_srclanes,ok,true,0.076,2.625,6.2404,29.336,31.73,2.402,3.930e-04,5817,729830,2,4,0,true,true
13193492,sigma_multiscale,100000,64,Float32,4,fused_packed,ok,true,0.079,2.625,6.3463,28.563,32.021,2.449,3.930e-04,5817,729830,2,4,0,true,true
13193492,sigma_multiscale,100000,64,Float64,4,pairs,ok,false,3.889,3.281,5.1517,34.973,34.202,2.52,3.924e-04,5817,729830,2,4,0,true,true
13193492,sigma_multiscale,100000,64,Float64,4,fused_cta,ok,true,0.071,3.281,11.3311,34.845,40.524,2.416,3.924e-04,5817,729830,2,4,0,true,true
13193492,sigma_multiscale,100000,64,Float64,4,fused_srclanes,ok,true,0.074,3.281,9.6843,35.797,38.668,2.453,3.924e-04,5817,729830,2,4,0,true,true
13193492,sigma_multiscale,100000,64,Float64,4,fused_packed,ok,true,0.072,3.281,10.7707,33.544,39.75,2.436,3.924e-04,5817,729830,2,4,0,true,true
13193492,sigma_multiscale,1000000,64,Float32,4,pairs,fail:AssertionError AssertionError: adaptive device DTR frontier capacity 31506000 exceeded,,,,,,,,,,,,,,,
13193492,sigma_multiscale,1000000,64,Float32,4,fused_cta,fail:AssertionError AssertionError: adaptive device DTR frontier capacity 31506000 exceeded,,,,,,,,,,,,,,,
13193492,sigma_multiscale,1000000,64,Float32,4,fused_srclanes,fail:AssertionError AssertionError: adaptive device DTR frontier capacity 31506000 exceeded,,,,,,,,,,,,,,,
13193492,sigma_multiscale,1000000,64,Float32,4,fused_packed,fail:AssertionError AssertionError: adaptive device DTR frontier capacity 31506000 exceeded,,,,,,,,,,,,,,,
13193492,sigma_multiscale,1000000,64,Float64,4,pairs,fail:AssertionError AssertionError: adaptive device DTR frontier capacity 31506000 exceeded,,,,,,,,,,,,,,,
13193492,sigma_multiscale,1000000,64,Float64,4,fused_cta,fail:AssertionError AssertionError: adaptive device DTR frontier capacity 31506000 exceeded,,,,,,,,,,,,,,,
13193492,sigma_multiscale,1000000,64,Float64,4,fused_srclanes,fail:AssertionError AssertionError: adaptive device DTR frontier capacity 31506000 exceeded,,,,,,,,,,,,,,,
13193492,sigma_multiscale,1000000,64,Float64,4,fused_packed,fail:AssertionError AssertionError: adaptive device DTR frontier capacity 31506000 exceeded,,,,,,,,,,,,,,,
13193492,rotor,100000,64,Float32,4,pairs,ok,false,0.073,2.625,0.2968,12.438,12.633,2.837,1.430e-03,3536,43572,2,4,0,true,true
13193492,rotor,100000,64,Float32,4,fused_cta,ok,true,0.071,2.625,0.4682,12.371,12.815,2.857,1.430e-03,3536,43572,2,4,0,true,true
13193492,rotor,100000,64,Float32,4,fused_srclanes,ok,true,0.069,2.625,0.4397,12.377,13.279,2.791,1.430e-03,3536,43572,2,4,0,true,true
13193492,rotor,100000,64,Float32,4,fused_packed,ok,true,0.069,2.625,0.462,12.377,12.81,2.767,1.430e-03,3536,43572,2,4,0,true,true
13193492,rotor,100000,64,Float64,4,pairs,ok,false,0.079,3.281,0.4565,12.173,12.478,2.982,1.432e-03,3536,43572,2,4,0,true,true
