label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat
w5_p_e4q4_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,4,4,uniform,concat,256,default,ok,,90.122,87.618,0.045,0.521,89.212,0.055,0.289,,,,,,,,,,,,4.4598e-03,5.4442e-04,1.9270e-02,false,168,225,9088,3392,4096,,,0.1,1688,1.64,true
w5_p_e4q8_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,4,8,uniform,concat,256,default,ok,,95.043,91.992,0.045,0.521,93.19,0.055,1.231,,,,,,,,,,,,1.1651e-03,1.6430e-04,5.5646e-03,false,168,225,9776,7024,4096,,,0.11,2164,1.7,true
w5_p_e4q12_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,4,12,uniform,concat,256,default,ok,,96.797,93.632,0.051,0.52,94.857,0.056,1.313,,,,,,,,,,,,3.8357e-04,6.4355e-05,1.8393e-03,true,168,225,10928,10416,4096,,,0.12,2804,1.73,true
w5_p_e4q16_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,4,16,uniform,concat,256,default,ok,,97.982,95.786,0.053,0.52,98.224,0.056,-0.871,,,,,,,,,,,,1.9523e-04,3.3086e-05,9.3469e-04,true,168,225,10080,12096,4096,,,0.12,3396,1.76,true
w5_p_e5q9_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,9,uniform,concat,256,default,ok,,23.762,23.469,0.054,0.331,23.669,0.056,-0.349,,,,,,,,,,,,1.0545e-03,1.7206e-04,8.1713e-03,false,896,1121,194160,68328,32768,,,0.05,6888,2.39,true
w5_p_e5q12_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,12,uniform,concat,256,default,ok,,26.264,25.694,0.052,0.332,25.874,0.057,-0.051,,11.407,1.441,8.471,1.421,8.256,0.438,0.0,0.0,2.051,0.003,6.9413e-04,1.1111e-04,5.9862e-03,true,896,1121,227840,92592,32768,1 8 16 32 168 896,0 320 10608 216912,0.06,9008,3.07,true
w5_p_e5q16_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,16,uniform,concat,256,default,ok,,30.035,29.917,0.051,0.34,29.377,0.056,0.21,90.233,11.389,1.337,11.125,1.427,9.762,0.462,0.0,0.0,2.813,0.003,4.7925e-04,7.4881e-05,4.3623e-03,true,896,1121,240464,121104,32768,1 8 16 32 168 896,0 288 9792 230384,0.07,12056,3.26,true
w5_p_e5q20_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,20,uniform,concat,256,default,ok,,36.006,35.856,0.051,0.338,35.474,0.057,0.086,,,,,,,,,,,,2.9237e-04,5.3894e-05,2.7441e-03,true,896,1121,260072,161592,32768,,,0.09,17104,3.6,true
w5_p_e4q8_f64,13134906,m13h-1-1,wake,100000,partitioned,Float64,4,8,uniform,concat,256,default,ok,,144.045,141.003,0.045,0.534,143.515,0.064,-0.113,,,,,,,,,,,,1.1651e-03,1.6430e-04,5.5646e-03,false,168,225,9776,7024,4096,,,0.16,2692,3.04,true
w5_p_e5q12_f64,13134906,m13h-1-1,wake,100000,partitioned,Float64,5,12,uniform,concat,256,default,ok,,32.177,31.867,0.047,0.349,31.514,0.066,0.2,,,,,,,,,,,,6.9412e-04,1.1111e-04,5.9862e-03,true,896,1121,227840,92592,32768,,,0.07,9536,3.07,true
w5_p_e5q16_f64,13134906,m13h-1-1,wake,100000,partitioned,Float64,5,16,uniform,concat,256,default,ok,,35.11,34.859,0.048,0.343,35.136,0.068,-0.485,105.525,18.74,1.45,11.244,1.438,19.905,0.517,0.0,0.0,3.095,0.003,4.7925e-04,7.4881e-05,4.3623e-03,true,896,1121,240464,121104,32768,1 8 16 32 168 896,0 288 9792 230384,0.08,12584,3.98,true
w5_r_e5q12_f32,13134906,m13h-1-1,wake,100000,regularized,Float32,5,12,uniform,concat,256,default,ok,,30.699,30.532,0.053,0.305,30.134,0.055,0.152,,,,,,,,,,,,6.9460e-04,1.1107e-04,5.9849e-03,true,896,1121,227840,92592,32768,,,0.06,9008,3.54,true
w5_r_e5q16_f32,13134906,m13h-1-1,wake,100000,regularized,Float32,5,16,uniform,concat,256,default,ok,,35.854,35.338,0.056,0.308,35.514,0.056,-0.08,,,,,,,,,,,,4.7937e-04,7.4822e-05,4.3601e-03,true,896,1121,240464,121104,32768,,,0.08,12056,2.95,true
w5_r_e5q16_f64,13134906,m13h-1-1,wake,100000,regularized,Float64,5,16,uniform,concat,256,default,ok,,56.76,56.639,0.051,0.308,56.781,0.065,-0.445,,,,,,,,,,,,4.7937e-04,7.4823e-05,4.3601e-03,true,896,1121,240464,121104,32768,,,0.1,12584,3.39,true
