Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,117728,5,23545.6,23520.0,23296,24000,275.6,"_cuda_subsort_keys_kernel_(CuDeviceArray<UInt32, (int)1, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, SArray<Tuple<(int)3>, Float32, (int)1, (int)3>, Float32, Int64, Int64, Int64)"
0.0,112832,5,22566.4,22496.0,22464,22784,130.8,"partial_scan(_, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Int64, void, Val<(bool)1>)"
0.0,105536,5,21107.2,20928.0,20576,21760,555.5,"_cuda_extract_source_positions_kernel_(CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, Int64, Int64)"
0.0,103072,20,5153.6,5120.0,5024,5376,107.6,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x32x8_stage3_warpsize1x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
0.0,99872,5,19974.4,20000.0,19744,20096,145.6,"_cuda_radix_keys_checked_kernel_(CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, SArray<Tuple<(int)3>, Float32, (int)1, (int)3>, Float32, Int64)"
0.0,53440,5,10688.0,10688.0,10656,10752,39.2,"_cuda_direct_pairs_bucket_kernel_(RegularizedVortex, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Int64, (int)2, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, Int32, Int64, Val<(bool)1>)"
0.0,53152,5,10630.4,10624.0,10624,10656,14.3,"_cuda_direct_pairs_bucket_kernel_(SingularVortex, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Int64, (int)2, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, Int32, Int64, Val<(bool)1>)"
0.0,52224,5,10444.8,10240.0,10176,11200,430.9,"partial_mapreduce_grid(identity, max, Float32, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, Val<(bool)1>, CuDeviceArray<Float32, (int)2, (int)1>, SubArray<Float32, (int)1, CuDeviceArray<Float32, (int)2, (int)1>, Tuple<Int64, UnitRange<Int64>>, (bool)1>)"
0.0,35872,10,3587.2,3600.0,2144,5024,1467.7,scan
0.0,34944,5,6988.8,7040.0,6848,7136,121.0,"_cuda_nf_scalars_kernel_(CuDeviceArray<Float64, (int)1, (int)1>, CuDeviceArray<Float32, (int)1, (int)1>, Int64, Float64)"
0.0,30432,5,6086.4,6112.0,5952,6144,79.7,"_cuda_key_change_flags_kernel_(CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>)"
0.0,29824,5,5964.8,5952.0,5888,6048,66.4,"partial_scan(_, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Int32, void, Val<(bool)1>)"
0.0,29536,5,5907.2,5856.0,5856,6048,83.4,"_cuda_fill_cell_firsts_kernel_(CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<Int64, (int)2, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>)"
0.0,29440,5,5888.0,5888.0,5856,5920,22.6,"_cuda_fill_cell_counts_kernel_(CuDeviceArray<Int64, (int)2, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>)"
0.0,23104,5,4620.8,4576.0,4576,4768,83.4,"aggregate_partial_scan(_, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, void)"
0.0,11808,5,2361.6,2368.0,2272,2464,76.4,"partial_mapreduce_grid(identity, max, Float32, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Val<(bool)1>, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>)"
0.0,11552,5,2310.4,2304.0,2304,2336,14.3,"_cuda_counting_cursor_kernel_(CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>)"
0.0,8960,5,1792.0,1792.0,1760,1856,39.2,"aggregate_partial_scan(_, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, void)"
0.0,7424,5,1484.8,1472.0,1440,1536,48.5,"gpu_linear_copy_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, NDRange<(int)1, DynamicSize, DynamicSize, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int64, (int)1, (int)1>, Int64, SubArray<Int64, (int)1, CuDeviceArray<Int64, (int)1, (int)1>, Tuple<StepRange<Int64, Int64>>, (bool)1>, Int64, Int64)"
0.0,6720,5,1344.0,1344.0,1248,1440,96.0,"_cuda_keys_differ_kernel_(CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>, Int64)"
0.0,6591,5,1318.2,1344.0,1216,1440,99.5,"gpu_linear_copy_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, NDRange<(int)1, DynamicSize, DynamicSize, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int32, (int)1, (int)1>, Int64, SubArray<Int32, (int)1, CuDeviceArray<Int32, (int)1, (int)1>, Tuple<StepRange<Int64, Int64>>, (bool)1>, Int64, Int64)"
0.0,4032,5,806.4,800.0,768,864,35.1,"gpu_fill_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, NDRange<(int)1, DynamicSize, DynamicSize, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int64, (int)1, (int)1>, Int64)"
