variant,form,precision,blas_threads,P,lamb_helmholtz,batch,measured_batch,scaled,seconds,seconds_per_expansion
factored,batched_operator,Float64,1,2,false,4096,4096,false,2.224676e-03,5.431338e-07
production_recurrence,recurrence,Float64,1,2,false,1,1,false,4.721000e-07,4.721000e-07
production_recurrence,recurrence,Float64,1,2,false,2,2,false,9.528760e-07,4.764380e-07
production_recurrence,recurrence,Float64,1,2,false,4,4,false,1.899630e-06,4.749075e-07
production_recurrence,recurrence,Float64,1,2,false,8,8,false,3.772930e-06,4.716162e-07
production_recurrence,recurrence,Float64,1,2,false,16,16,false,7.538350e-06,4.711469e-07
production_recurrence,recurrence,Float64,1,2,false,32,32,false,1.507510e-05,4.710969e-07
production_recurrence,recurrence,Float64,1,2,false,64,64,false,3.008510e-05,4.700797e-07
production_recurrence,recurrence,Float64,1,2,false,256,256,false,1.212460e-04,4.736172e-07
production_recurrence,recurrence,Float64,1,2,false,1024,1024,false,4.821380e-04,4.708379e-07
production_recurrence,recurrence,Float64,1,2,false,4096,2048,true,1.936128e-03,4.726875e-07
materialized,batched_operator,Float64,1,2,true,1,1,false,1.758380e-06,1.758380e-06
factored,batched_operator,Float64,1,2,true,1,1,false,1.667310e-06,1.667310e-06
materialized,batched_operator,Float64,1,2,true,2,2,false,3.384610e-06,1.692305e-06
factored,batched_operator,Float64,1,2,true,2,2,false,3.268690e-06,1.634345e-06
materialized,batched_operator,Float64,1,2,true,4,4,false,6.463540e-06,1.615885e-06
factored,batched_operator,Float64,1,2,true,4,4,false,6.372370e-06,1.593093e-06
materialized,batched_operator,Float64,1,2,true,8,8,false,1.264960e-05,1.581200e-06
factored,batched_operator,Float64,1,2,true,8,8,false,1.253540e-05,1.566925e-06
materialized,batched_operator,Float64,1,2,true,16,16,false,2.506170e-05,1.566356e-06
factored,batched_operator,Float64,1,2,true,16,16,false,2.482020e-05,1.551262e-06
materialized,batched_operator,Float64,1,2,true,32,32,false,4.979660e-05,1.556144e-06
factored,batched_operator,Float64,1,2,true,32,32,false,4.943490e-05,1.544841e-06
materialized,batched_operator,Float64,1,2,true,64,64,false,9.983800e-05,1.559969e-06
factored,batched_operator,Float64,1,2,true,64,64,false,9.921850e-05,1.550289e-06
materialized,batched_operator,Float64,1,2,true,256,256,false,3.971870e-04,1.551512e-06
factored,batched_operator,Float64,1,2,true,256,256,false,3.940310e-04,1.539184e-06
materialized,batched_operator,Float64,1,2,true,1024,1024,false,1.597262e-03,1.559826e-06
factored,batched_operator,Float64,1,2,true,1024,1024,false,1.586522e-03,1.549338e-06
materialized,batched_operator,Float64,1,2,true,4096,4096,false,6.409535e-03,1.564828e-06
factored,batched_operator,Float64,1,2,true,4096,4096,false,6.369861e-03,1.555142e-06
production_recurrence,recurrence,Float64,1,2,true,1,1,false,6.380090e-07,6.380090e-07
production_recurrence,recurrence,Float64,1,2,true,2,2,false,1.311260e-06,6.556300e-07
production_recurrence,recurrence,Float64,1,2,true,4,4,false,2.556410e-06,6.391025e-07
production_recurrence,recurrence,Float64,1,2,true,8,8,false,5.104500e-06,6.380625e-07
production_recurrence,recurrence,Float64,1,2,true,16,16,false,1.018910e-05,6.368188e-07
production_recurrence,recurrence,Float64,1,2,true,32,32,false,2.073900e-05,6.480937e-07
production_recurrence,recurrence,Float64,1,2,true,64,64,false,4.145390e-05,6.477172e-07
production_recurrence,recurrence,Float64,1,2,true,256,256,false,1.648000e-04,6.437500e-07
production_recurrence,recurrence,Float64,1,2,true,1024,1024,false,6.631060e-04,6.475645e-07
production_recurrence,recurrence,Float64,1,2,true,4096,2048,true,2.633950e-03,6.430542e-07
materialized,batched_operator,Float64,1,3,false,1,1,false,1.218390e-06,1.218390e-06
factored,batched_operator,Float64,1,3,false,1,1,false,1.026430e-06,1.026430e-06
materialized,batched_operator,Float64,1,3,false,2,2,false,2.359730e-06,1.179865e-06
factored,batched_operator,Float64,1,3,false,2,2,false,2.003370e-06,1.001685e-06
materialized,batched_operator,Float64,1,3,false,4,4,false,4.602550e-06,1.150638e-06
factored,batched_operator,Float64,1,3,false,4,4,false,3.947520e-06,9.868800e-07
materialized,batched_operator,Float64,1,3,false,8,8,false,9.199280e-06,1.149910e-06
factored,batched_operator,Float64,1,3,false,8,8,false,7.886720e-06,9.858400e-07
materialized,batched_operator,Float64,1,3,false,16,16,false,1.797480e-05,1.123425e-06
factored,batched_operator,Float64,1,3,false,16,16,false,1.557130e-05,9.732063e-07
materialized,batched_operator,Float64,1,3,false,32,32,false,3.591950e-05,1.122484e-06
factored,batched_operator,Float64,1,3,false,32,32,false,3.107140e-05,9.709813e-07
materialized,batched_operator,Float64,1,3,false,64,64,false,7.166170e-05,1.119714e-06
factored,batched_operator,Float64,1,3,false,64,64,false,6.212580e-05,9.707156e-07
materialized,batched_operator,Float64,1,3,false,256,256,false,2.839130e-04,1.109035e-06
factored,batched_operator,Float64,1,3,false,256,256,false,2.482270e-04,9.696367e-07
materialized,batched_operator,Float64,1,3,false,1024,1024,false,1.140212e-03,1.113488e-06
factored,batched_operator,Float64,1,3,false,1024,1024,false,9.996980e-04,9.762676e-07
materialized,batched_operator,Float64,1,3,false,4096,4096,false,4.580948e-03,1.118396e-06
factored,batched_operator,Float64,1,3,false,4096,4096,false,4.013443e-03,9.798445e-07
production_recurrence,recurrence,Float64,1,3,false,1,1,false,8.342080e-07,8.342080e-07
production_recurrence,recurrence,Float64,1,3,false,2,2,false,1.673740e-06,8.368700e-07
production_recurrence,recurrence,Float64,1,3,false,4,4,false,3.337670e-06,8.344175e-07
production_recurrence,recurrence,Float64,1,3,false,8,8,false,6.679150e-06,8.348938e-07
production_recurrence,recurrence,Float64,1,3,false,16,16,false,1.332500e-05,8.328125e-07
production_recurrence,recurrence,Float64,1,3,false,32,32,false,2.655090e-05,8.297156e-07
production_recurrence,recurrence,Float64,1,3,false,64,64,false,5.310980e-05,8.298406e-07
production_recurrence,recurrence,Float64,1,3,false,256,256,false,2.130500e-04,8.322266e-07
production_recurrence,recurrence,Float64,1,3,false,1024,1024,false,8.540450e-04,8.340283e-07
production_recurrence,recurrence,Float64,1,3,false,4096,2048,true,3.419106e-03,8.347427e-07
materialized,batched_operator,Float64,1,3,true,1,1,false,2.608100e-06,2.608100e-06
factored,batched_operator,Float64,1,3,true,1,1,false,2.712100e-06,2.712100e-06
materialized,batched_operator,Float64,1,3,true,2,2,false,5.088660e-06,2.544330e-06
factored,batched_operator,Float64,1,3,true,2,2,false,5.336630e-06,2.668315e-06
materialized,batched_operator,Float64,1,3,true,4,4,false,9.980700e-06,2.495175e-06
factored,batched_operator,Float64,1,3,true,4,4,false,1.050970e-05,2.627425e-06
materialized,batched_operator,Float64,1,3,true,8,8,false,1.968800e-05,2.461000e-06
factored,batched_operator,Float64,1,3,true,8,8,false,2.104050e-05,2.630062e-06
materialized,batched_operator,Float64,1,3,true,16,16,false,3.899630e-05,2.437269e-06
factored,batched_operator,Float64,1,3,true,16,16,false,4.131060e-05,2.581912e-06
