step,wall_s,body_influence,controls_setup,io,monitors,remaining_aerodynamics,rigid_kinematics,shedding,solve,total_step,unclassified_residual,wake_influence,wake_propagation_maintenance,wake_sfs,g_influence_pass1,g_influence_pass3
91,7.92,1.370488599,3.6634e-05,0.727198372,0.237555856,0.10138614299999998,0.000501309,0.024844275,0.941742161,5.867569068,0.00019209199999981053,2.431327443,0.032296184,1.575669488,0.85524,1.3703
92,5.87,1.370819192,3.6361e-05,0.740150193,0.254622594,0.10874597600000001,0.000496837,0.023793728,0.965215957,5.821972521,0.0001918700000009821,2.326139411,0.031760402,1.508428112,0.81749,1.3706
93,5.82,1.394049222,3.2708e-05,0.733270716,0.257902686,0.106247649,0.000523401,0.025302096,0.965174358,5.712633223,0.0001862690000011824,2.197402412,0.032541706,1.421546204,0.77549,1.3939
94,5.71,1.394475943,2.8664e-05,0.750914639,0.254510382,0.109337001,0.000497901,0.025563738,0.94050587,5.607413574,0.00019851099999979027,2.100754894,0.030626031,1.3569095170000003,0.74345,1.3943
95,5.61,1.395714776,2.4671e-05,0.988726334,0.260463427,0.10971346700000001,0.000510897,0.021622253,0.944022177,5.906801677,0.00020109500000042857,2.15236331,0.03343927,1.387848345,0.76415,1.3955
96,5.91,1.397182447,2.4101e-05,0.754599632,0.199301929,0.09764621999999999,0.000512446,0.021894953,0.942985882,5.740046125,0.00018355799999980604,2.293639534,0.032075423,1.487715028,0.80557,1.397
97,5.74,1.398764236,2.5362e-05,0.772232386,0.251562351,0.101406497,0.000518759,0.022453273,0.949932439,5.963428892,0.00019369400000002202,2.432843923,0.033495972,1.575198711,0.85729,1.3986
98,5.96,1.39882454,2.8243e-05,0.759511238,0.248578894,0.10461636499999999,0.000482994,0.022833031,0.962824977,6.042693347,0.00017198399999962533,2.519167835,0.025653246,1.6345291139999998,0.88427,1.3987
99,6.04,1.396193083,2.2364e-05,0.770146362,1.917513676,0.105851451,0.000543651,0.022800184,0.968036442,7.692917744,0.0002097829999998524,2.477774938,0.03382581,1.609413439,0.86806,1.3961
100,7.69,1.395805806,2.7564e-05,0.785871234,0.273123708,0.10537344500000001,0.000526995,0.02322672,0.952937222,5.94296101,0.00018748300000037688,2.370877865,0.035002968,1.532333722,0.83818,1.3956
101,5.94,1.394979909,3.0177e-05,0.790868652,0.216313653,0.328777001,0.000521454,0.023872843,0.960360226,5.877227754,0.00021082699999919186,2.12652003,0.034772982,1.3749177590000001,0.75124,1.3948
102,5.88,1.394025196,3.0841e-05,0.7865246,0.270841445,0.106212449,0.000469324,0.023922037,0.945182778,5.616844959,0.0001935069999996486,2.066648089,0.022794693,1.3265842259999998,0.73969,1.3939
103,5.62,1.394071829,2.0649e-05,0.852756529,0.274502648,0.10830269699999999,0.000517035,0.026161609,0.951516672,5.74176943,0.00019094099999961145,2.099029228,0.034699593,1.352981913,0.74572,1.3939
104,5.74,1.394207765,3.1587e-05,0.823493403,0.288257493,0.109960262,0.000515133,0.025277789,0.946160661,5.770735206,0.00020264499999989027,2.147945968,0.0346825,1.3999004990000001,0.74764,1.394
105,5.77,1.395076729,2.759e-05,0.822139622,0.29096113,0.10610898999999999,0.000502492,0.02457008,0.962554486,5.903998109,0.0002153939999995913,2.266930149,0.034911447,1.4624953840000001,0.80405,1.3949
106,5.9,1.396866535,2.9352e-05,0.840565463,0.639259592,0.109673685,0.000501577,0.024313421,0.943032255,6.361339083,0.00022494700000041945,2.370988186,0.03588407,1.5319657839999998,0.83861,1.3967
107,6.36,1.397175853,3.1353e-05,0.825942896,0.261077633,0.10361387200000001,0.000502956,0.025020896,0.944787166,6.09261745,0.00020354699999902692,2.498976726,0.035284552,1.6171399999999998,0.88143,1.397
108,6.09,1.394389308,2.7039e-05,0.833247166,1.952118433,0.108522136,0.000542854,0.023258911,0.941265781,7.834760372,0.00019684699999977795,2.544802724,0.036389173,1.643279596,0.90111,1.3942
109,7.84,1.393149112,2.7371e-05,0.86371859,0.292452147,0.105839228,0.000533652,0.024036081,0.964034105,6.215844032,0.00019699500000136538,2.53345198,0.038404771,1.636414534,0.89665,1.3931
110,6.22,1.393914751,2.884e-05,0.841985635,0.303330386,0.107904578,0.000490471,0.024214612,0.953364681,6.232473326,0.0001949959999993922,2.571232459,0.035811917,1.659836165,0.91102,1.3937
111,6.23,1.394217115,2.8491e-05,0.847333742,0.435099797,0.106615722,0.000516494,0.021630785,0.942104236,6.333396092,0.00019245599999972995,2.549778289,0.035878965,1.645899783,0.90349,1.3941
112,6.33,1.395929606,2.8838e-05,0.863383667,0.295392325,0.10150416400000001,0.000512137,0.022230075,0.951365837,6.050541785,0.00019797100000040757,2.384448527,0.035548638,1.5454599429999998,0.83875,1.3957
113,6.05,1.396164941,2.6725e-05,0.874750307,0.300386661,0.104528321,0.000495083,0.02271186,0.946158443,5.883486973,0.0001835329999995139,2.205273497,0.032807602,1.416472051,0.78843,1.396
114,5.88,1.396869481,2.3097e-05,0.87150395,0.29761839,0.103866815,0.000452361,0.02269479,0.947835715,5.787232103,0.00016987999999962256,2.119101435,0.027096189,1.361924264,0.75682,1.3967
