n,seed,sampler_seed,reference_samples,host,timestamp,index,reference_potential,reference_gradient_x,reference_gradient_y,reference_gradient_z
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,150,0.0666178629382397,-0.08256698137171563,0.02496894189655759,-0.027187846697199796
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,151,0.07744960327877451,-0.06775004353319641,0.01296079865664491,0.02003831339419438
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,152,0.06825303858914755,-0.05309033935774355,0.022985058347653527,0.07383965445828425
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,153,0.08173467579022331,0.03878163512849737,-0.017252917993298953,0.04907407150989681
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,154,0.07106792344308391,-0.026688229244266434,0.02364905800042159,0.07660837616667363
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,155,0.08169639645453726,-0.022147116388282487,-0.05725025270319077,0.0017606893991153447
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,156,0.06569205218541763,-0.04778425993590685,0.0568137208926602,-0.02033517566394234
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,157,0.07344293929693395,0.010801567139483225,0.053921150824199224,0.07223010442216478
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,158,0.08533492431419705,-0.02038500436772015,0.049123297737202004,-0.006630689322265583
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,159,0.07550917300779912,0.01874930381279875,0.07334766622908892,-0.004910880023849186
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,160,0.08391875799409096,-0.020321208179026357,0.062106406026587714,-0.012805113352588222
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,161,0.08711080492008322,0.019406478537379607,-0.040674797514943004,0.009785971033890698
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,162,0.08766189846335426,0.013445680382101496,-0.03584711780058057,-0.03835541354208442
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,163,0.08855275250647272,-0.034047024702703314,0.015907156532152453,0.0106013224227916
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,164,0.0724345340646866,-0.07323154388565416,0.015700145796948988,0.019557548082129027
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,165,0.06484286459640061,-0.10860115618201022,0.05230794045616912,-0.12350580544172464
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,166,0.07298303495011055,-0.004634556989158732,0.07280281718725472,0.07316392106766903
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,167,0.06388206503210274,0.01389938230897223,0.09620623844019192,0.056252702642910865
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,168,0.07854915504121388,0.05744491073730592,0.023728042145231436,-0.021853297335800107
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,169,0.09100185905622317,0.008440943820695684,0.005034803957231275,-0.017023532947653994
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,170,0.07016890262660785,-0.005521266848015051,0.08987737885703351,0.01746144023054597
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,171,0.0705969653770263,0.050002645048998234,0.012638520118050127,0.06851762877309454
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,172,0.0719178478441456,-0.02012562114182775,-0.06401106350789985,0.03801610351417768
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,173,0.08524181365815457,0.03918366022101859,-0.016990299253377802,-0.0370265425261452
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,174,0.06202597199370967,0.03809776410768531,0.05049524148210447,-0.017409001092653368
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,175,0.0731603308337639,-0.08402824291441234,0.026241118049574005,-0.028090093857393788
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,176,0.06842666403074237,0.05757046823665909,-0.042115530572028076,0.0064083976341775045
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,177,0.06164837638055728,0.10614036079887348,-0.05378709621330389,0.022419783537909466
