host,kernel,cpu_model,julia_version,cpu_threads,julia_threads,blas_vendor,blas_config,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,false,150,precomputed_production,15392,383,1530,40.18798955613577,2830,24,175.298382,43078112,152640640,104.346519,14960,116.804657,31872,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,false,150,precomputed_candidate,15392,383,1530,40.18798955613577,2830,24,175.902057,43078112,152640640,100.025496,14960,113.657881,31872,4,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,false,150,precomputed_candidate,15392,383,1530,40.18798955613577,2830,24,174.830963,43078112,152640640,104.158124,14960,113.77657500000001,31872,8,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,false,150,precomputed_candidate,15392,383,1530,40.18798955613577,2830,24,182.432402,43078112,152640640,102.03296,14960,115.087799,31872,12,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,false,150,precomputed_candidate,15392,383,1530,40.18798955613577,2830,24,173.640706,43078112,152640640,103.821452,14960,116.30089000000001,31872,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,true,150,factored_023a,12210,2532,24,4.822274881516588,2532,24,138.514466,105807272,528160,588.676552,1808,612.642232,26240,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,true,150,precomputed_scalar,12210,371,1164,32.911051212938006,2532,24,357.209996,86020416,325244704,233.79740700000002,27840,258.025311,52528,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,true,150,precomputed_gemm,12210,371,1164,32.911051212938006,2532,24,297.630219,86020416,325244704,182.219252,27840,204.014392,52528,1,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,true,150,precomputed_production,12210,371,1164,32.911051212938006,2532,24,347.171355,86020416,325244704,183.504579,27840,207.006035,52528,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,true,150,precomputed_candidate,12210,371,1164,32.911051212938006,2532,24,304.953234,86020416,325244704,180.30781000000002,27840,203.21993999999998,52528,4,16
