host,kernel,cpu_model,julia_version,julia_threads,blas_vendor,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,2000,precomputed_gemm,33068,209,1378,158.2200956937799,1584,48,9.097069,2057760,7732096,24.534144,8768,58.134039,25248,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,2000,precomputed_production,33068,209,1378,158.2200956937799,1584,48,9.139017,2057760,7732096,24.68084,8768,58.411611,25248,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,2000,precomputed_candidate,33068,209,1378,158.2200956937799,1584,48,10.20985,2057760,7732096,24.594197,8768,58.422481,25248,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,2000,precomputed_candidate,33068,209,1378,158.2200956937799,1584,48,9.77868,2057760,7732096,24.474553,8768,58.289802,25248,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,2000,precomputed_candidate,33068,209,1378,158.2200956937799,1584,48,11.698098,2057760,7732096,24.829810000000002,8768,58.249896,25248,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,2000,precomputed_candidate,33068,209,1378,158.2200956937799,1584,48,14.552352,2057760,7732096,24.527472000000003,8768,58.303177,25248,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,2000,factored_023a,24680,1368,42,18.04093567251462,1368,42,20.954046,27138024,1298592,118.029359,1808,157.980912,25552,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,2000,precomputed_scalar,24680,181,716,136.353591160221,1368,42,15.223805,4338304,8088000,53.692972,13488,92.938457,37488,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,2000,precomputed_gemm,24680,181,716,136.353591160221,1368,42,13.380159,4338304,8088000,46.166064,13488,85.868578,37488,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,2000,precomputed_production,24680,181,716,136.353591160221,1368,42,10.615553,4338304,8088000,46.571405000000006,13488,85.587751,37488,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,2000,precomputed_candidate,24680,181,716,136.353591160221,1368,42,12.029811,4338304,8088000,46.592876,13488,85.78833800000001,37488,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,2000,precomputed_candidate,24680,181,716,136.353591160221,1368,42,12.894075,4338304,8088000,46.688966,13488,86.05669300000001,37488,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,2000,precomputed_candidate,24680,181,716,136.353591160221,1368,42,10.881603,4338304,8088000,46.551579000000004,13488,85.893636,37488,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,true,2000,precomputed_candidate,24680,181,716,136.353591160221,1368,42,24.777331,4338304,8088000,46.603787000000004,13488,85.699991,37488,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,2000,factored_023a,183930,3124,245,58.87644046094751,3124,245,59.778209,72364360,1380512,1055.50992,1808,1093.3233630000002,18032,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,2000,precomputed_scalar,183930,387,17286,475.27131782945736,3124,245,102.412753,15574688,64871296,611.621164,27088,650.0380220000001,43568,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,2000,precomputed_gemm,183930,387,17286,475.27131782945736,3124,245,109.724847,15574688,64871296,499.726308,27088,536.9358159999999,43568,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,2000,precomputed_production,183930,387,17286,475.27131782945736,3124,245,55.758353,15574688,64871296,501.26228399999997,27088,537.515756,43568,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,2000,precomputed_candidate,183930,387,17286,475.27131782945736,3124,245,97.699225,15574688,64871296,498.706681,27088,534.2850139999999,43568,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,2000,precomputed_candidate,183930,387,17286,475.27131782945736,3124,245,108.932849,15574688,64871296,503.27459699999997,27088,539.4243439999999,43568,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,2000,precomputed_candidate,183930,387,17286,475.27131782945736,3124,245,113.265562,15574688,64871296,499.113566,27088,536.933241,43568,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,false,2000,precomputed_candidate,183930,387,17286,475.27131782945736,3124,245,132.696474,15574688,64871296,499.228733,27088,535.396943,43568,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,2000,factored_023a,182336,3124,243,58.36619718309859,3124,243,142.48347,86857832,1790112,2384.048961,1808,2431.357911,25552,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,2000,precomputed_scalar,182336,387,17100,471.1524547803618,3124,243,186.267424,33898176,137191360,1412.267497,60992,1467.748867,84992,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,2000,precomputed_gemm,182336,387,17100,471.1524547803618,3124,243,207.850369,33898176,137191360,1140.5000949999999,60992,1194.965084,84992,1,12
