stencil,n_classes,g_min_h,n,ell,beta,eps,rho_t,required_gap_h,bodies_per_leaf,required_bodies_per_leaf,compliant,n_classes_required,reg_pairs_per_target,direct_pairs_per_target,f_regularized,speedup_q15,speedup_q25,n_classes_production,direct_pairs_production,f_production,speedup_production_q15,speedup_production_q25
theta0.5_|o|^2<=12,179,2.2361,1000000,1,2.0,1e-04,5.303,0.2121,125000.0,106.7,1,27,4997.1,3375000.0,0.0015,1.499,2.494,179,22375000.0,0.0002,1.500,2.499
theta0.5_|o|^2<=12,179,2.2361,1000000,2,2.0,1e-04,5.303,0.4242,15625.0,106.7,1,27,4997.1,421875.0,0.0118,1.491,2.456,179,2796875.0,0.0018,1.499,2.493
theta0.5_|o|^2<=12,179,2.2361,1000000,3,2.0,1e-04,5.303,0.8485,1953.1,106.7,1,27,4997.1,52734.4,0.0948,1.432,2.189,179,349609.4,0.0143,1.489,2.448
theta0.5_|o|^2<=12,179,2.2361,1000000,4,2.0,1e-04,5.303,1.6969,244.1,106.7,1,117,4997.1,28564.5,0.1749,1.379,1.980,179,43701.2,0.1143,1.419,2.134
theta0.5_|o|^2<=12,179,2.2361,1000000,5,2.0,1e-04,5.303,3.3938,30.5,106.7,0,485,4997.1,14801.0,0.3376,1.283,1.660,485,14801.0,0.3376,1.283,1.660
theta0.5_|o|^2<=12,179,2.2361,1000000,6,2.0,1e-04,5.303,6.7877,3.8,106.7,0,2391,4997.1,9120.9,0.5479,1.177,1.372,2391,9120.9,0.5479,1.177,1.372
theta0.5_|o|^2<=12,179,2.2361,1000,0,2.5,1e-04,5.303,1.3257,1000.0,208.4,1,81,9759.9,81000.0,0.1205,1.415,2.117,179,179000.0,0.0545,1.460,2.311
theta0.5_|o|^2<=12,179,2.2361,1000,1,2.5,1e-04,5.303,2.6514,125.0,208.4,0,275,9759.9,34375.0,0.2839,1.314,1.753,275,34375.0,0.2839,1.314,1.753
theta0.5_|o|^2<=12,179,2.2361,1000,2,2.5,1e-04,5.303,5.3029,15.6,208.4,0,1293,9759.9,20203.1,0.4831,1.208,1.450,1293,20203.1,0.4831,1.208,1.450
theta0.5_|o|^2<=12,179,2.2361,1000,3,2.5,1e-04,5.303,10.6058,2.0,208.4,0,7299,9759.9,14255.9,0.6846,1.117,1.233,7299,14255.9,0.6846,1.117,1.233
theta0.5_|o|^2<=12,179,2.2361,1000,4,2.5,1e-04,5.303,21.2115,0.2,208.4,0,48849,9759.9,11926.0,0.8184,1.064,1.122,48849,11926.0,0.8184,1.064,1.122
theta0.5_|o|^2<=12,179,2.2361,1000,5,2.5,1e-04,5.303,42.4231,0.0,208.4,0,354339,9759.9,10813.6,0.9026,1.034,1.062,354339,10813.6,0.9026,1.034,1.062
theta0.5_|o|^2<=12,179,2.2361,1000,6,2.5,1e-04,5.303,84.8461,0.0,208.4,0,2695407,9759.9,10282.2,0.9492,1.017,1.031,2695407,10282.2,0.9492,1.017,1.031
theta0.5_|o|^2<=12,179,2.2361,10000,0,2.5,1e-04,5.303,0.6153,10000.0,208.4,1,27,9759.9,270000.0,0.0361,1.473,2.371,179,1790000.0,0.0055,1.496,2.480
theta0.5_|o|^2<=12,179,2.2361,10000,1,2.5,1e-04,5.303,1.2307,1250.0,208.4,1,81,9759.9,101250.0,0.0964,1.431,2.184,179,223750.0,0.0436,1.468,2.346
theta0.5_|o|^2<=12,179,2.2361,10000,2,2.5,1e-04,5.303,2.4614,156.2,208.4,0,275,9759.9,42968.8,0.2271,1.347,1.865,275,42968.8,0.2271,1.347,1.865
theta0.5_|o|^2<=12,179,2.2361,10000,3,2.5,1e-04,5.303,4.9228,19.5,208.4,0,1015,9759.9,19824.2,0.4923,1.204,1.438,1015,19824.2,0.4923,1.204,1.438
theta0.5_|o|^2<=12,179,2.2361,10000,4,2.5,1e-04,5.303,9.8455,2.4,208.4,0,5905,9759.9,14416.5,0.6770,1.121,1.240,5905,14416.5,0.6770,1.121,1.240
theta0.5_|o|^2<=12,179,2.2361,10000,5,2.5,1e-04,5.303,19.6910,0.3,208.4,0,39649,9759.9,12099.9,0.8066,1.069,1.131,39649,12099.9,0.8066,1.069,1.131
theta0.5_|o|^2<=12,179,2.2361,10000,6,2.5,1e-04,5.303,39.3821,0.0,208.4,0,286313,9759.9,10922.0,0.8936,1.037,1.068,286313,10922.0,0.8936,1.037,1.068
theta0.5_|o|^2<=12,179,2.2361,100000,0,2.5,1e-04,5.303,0.2856,100000.0,208.4,1,27,9759.9,2700000.0,0.0036,1.497,2.487,179,17900000.0,0.0005,1.500,2.498
theta0.5_|o|^2<=12,179,2.2361,100000,1,2.5,1e-04,5.303,0.5712,12500.0,208.4,1,27,9759.9,337500.0,0.0289,1.479,2.396,179,2237500.0,0.0044,1.497,2.484
theta0.5_|o|^2<=12,179,2.2361,100000,2,2.5,1e-04,5.303,1.1425,1562.5,208.4,1,81,9759.9,126562.5,0.0771,1.444,2.241,179,279687.5,0.0349,1.474,2.376
theta0.5_|o|^2<=12,179,2.2361,100000,3,2.5,1e-04,5.303,2.2849,195.3,208.4,0,251,9759.9,49023.4,0.1991,1.364,1.925,251,49023.4,0.1991,1.364,1.925
theta0.5_|o|^2<=12,179,2.2361,100000,4,2.5,1e-04,5.303,4.5699,24.4,208.4,0,919,9759.9,22436.5,0.4350,1.232,1.513,919,22436.5,0.4350,1.232,1.513
theta0.5_|o|^2<=12,179,2.2361,100000,5,2.5,1e-04,5.303,9.1398,3.1,208.4,0,4993,9759.9,15237.4,0.6405,1.136,1.275,4993,15237.4,0.6405,1.136,1.275
theta0.5_|o|^2<=12,179,2.2361,100000,6,2.5,1e-04,5.303,18.2795,0.4,208.4,0,32423,9759.9,12368.4,0.7891,1.076,1.145,32423,12368.4,0.7891,1.076,1.145
theta0.5_|o|^2<=12,179,2.2361,1000000,0,2.5,1e-04,5.303,0.1326,1000000.0,208.4,1,27,9759.9,27000000.0,0.0004,1.500,2.499,179,179000000.0,0.0001,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,1,2.5,1e-04,5.303,0.2651,125000.0,208.4,1,27,9759.9,3375000.0,0.0029,1.498,2.489,179,22375000.0,0.0004,1.500,2.498
theta0.5_|o|^2<=12,179,2.2361,1000000,2,2.5,1e-04,5.303,0.5303,15625.0,208.4,1,27,9759.9,421875.0,0.0231,1.483,2.416,179,2796875.0,0.0035,1.497,2.487
theta0.5_|o|^2<=12,179,2.2361,1000000,3,2.5,1e-04,5.303,1.0606,1953.1,208.4,1,81,9759.9,158203.1,0.0617,1.455,2.288,179,349609.4,0.0279,1.479,2.400
theta0.5_|o|^2<=12,179,2.2361,1000000,4,2.5,1e-04,5.303,2.1212,244.1,208.4,1,179,9759.9,43701.2,0.2233,1.349,1.873,179,43701.2,0.2233,1.349,1.873
theta0.5_|o|^2<=12,179,2.2361,1000000,5,2.5,1e-04,5.303,4.2423,30.5,208.4,0,763,9759.9,23284.9,0.4192,1.240,1.535,763,23284.9,0.4192,1.240,1.535
theta0.5_|o|^2<=12,179,2.2361,1000000,6,2.5,1e-04,5.303,8.4846,3.8,208.4,0,4055,9759.9,15468.6,0.6309,1.140,1.284,4055,15468.6,0.6309,1.140,1.284
theta0.5_|o|^2<=12,179,2.2361,1000,0,1.5,1e-06,6.182,0.9273,1000.0,71.3,1,27,3339.6,27000.0,0.1237,1.413,2.109,179,179000.0,0.0187,1.486,2.432
theta0.5_|o|^2<=12,179,2.2361,1000,1,1.5,1e-06,6.182,1.8545,125.0,71.3,1,125,3339.6,15625.0,0.2137,1.355,1.893,179,22375.0,0.1493,1.396,2.043
theta0.5_|o|^2<=12,179,2.2361,1000,2,1.5,1e-06,6.182,3.7090,15.6,71.3,0,565,3339.6,8828.1,0.3783,1.261,1.595,565,8828.1,0.3783,1.261,1.595
theta0.5_|o|^2<=12,179,2.2361,1000,3,1.5,1e-06,6.182,7.4181,2.0,71.3,0,2993,3339.6,5845.7,0.5713,1.167,1.346,2993,5845.7,0.5713,1.167,1.346
theta0.5_|o|^2<=12,179,2.2361,1000,4,1.5,1e-06,6.182,14.8361,0.2,71.3,0,18055,3339.6,4408.0,0.7576,1.088,1.170,18055,4408.0,0.7576,1.088,1.170
theta0.5_|o|^2<=12,179,2.2361,1000,5,1.5,1e-06,6.182,29.6722,0.0,71.3,0,126385,3339.6,3857.0,0.8659,1.047,1.088,126385,3857.0,0.8659,1.047,1.088
theta0.5_|o|^2<=12,179,2.2361,1000,6,1.5,1e-06,6.182,59.3444,0.0,71.3,0,942977,3339.6,3597.2,0.9284,1.024,1.045,942977,3597.2,0.9284,1.024,1.045
theta0.5_|o|^2<=12,179,2.2361,10000,0,1.5,1e-06,6.182,0.4304,10000.0,71.3,1,27,3339.6,270000.0,0.0124,1.491,2.454,179,1790000.0,0.0019,1.499,2.493
theta0.5_|o|^2<=12,179,2.2361,10000,1,1.5,1e-06,6.182,0.8608,1250.0,71.3,1,27,3339.6,33750.0,0.0989,1.429,2.177,179,223750.0,0.0149,1.489,2.445
theta0.5_|o|^2<=12,179,2.2361,10000,2,1.5,1e-06,6.182,1.7216,156.2,71.3,1,117,3339.6,18281.2,0.1827,1.374,1.962,179,27968.8,0.1194,1.415,2.120
theta0.5_|o|^2<=12,179,2.2361,10000,3,1.5,1e-06,6.182,3.4432,19.5,71.3,0,485,3339.6,9472.7,0.3525,1.275,1.635,485,9472.7,0.3525,1.275,1.635
theta0.5_|o|^2<=12,179,2.2361,10000,4,1.5,1e-06,6.182,6.8863,2.4,71.3,0,2391,3339.6,5837.4,0.5721,1.166,1.345,2391,5837.4,0.5721,1.166,1.345
theta0.5_|o|^2<=12,179,2.2361,10000,5,1.5,1e-06,6.182,13.7726,0.3,71.3,0,14909,3339.6,4549.9,0.7340,1.097,1.190,14909,4549.9,0.7340,1.097,1.190
theta0.5_|o|^2<=12,179,2.2361,10000,6,1.5,1e-06,6.182,27.5453,0.0,71.3,0,102633,3339.6,3915.1,0.8530,1.052,1.097,102633,3915.1,0.8530,1.052,1.097
theta0.5_|o|^2<=12,179,2.2361,100000,0,1.5,1e-06,6.182,0.1998,100000.0,71.3,1,27,3339.6,2700000.0,0.0012,1.499,2.495,179,17900000.0,0.0002,1.500,2.499
theta0.5_|o|^2<=12,179,2.2361,100000,1,1.5,1e-06,6.182,0.3995,12500.0,71.3,1,27,3339.6,337500.0,0.0099,1.493,2.463,179,2237500.0,0.0015,1.499,2.494
theta0.5_|o|^2<=12,179,2.2361,100000,2,1.5,1e-06,6.182,0.7991,1562.5,71.3,1,27,3339.6,42187.5,0.0792,1.443,2.235,179,279687.5,0.0119,1.491,2.456
theta0.5_|o|^2<=12,179,2.2361,100000,3,1.5,1e-06,6.182,1.5982,195.3,71.3,1,117,3339.6,22851.6,0.1461,1.398,2.051,179,34960.9,0.0955,1.432,2.187
theta0.5_|o|^2<=12,179,2.2361,100000,4,1.5,1e-06,6.182,3.1963,24.4,71.3,0,461,3339.6,11254.9,0.2967,1.306,1.730,461,11254.9,0.2967,1.306,1.730
theta0.5_|o|^2<=12,179,2.2361,100000,5,1.5,1e-06,6.182,6.3927,3.1,71.3,0,1983,3339.6,6051.6,0.5518,1.176,1.368,1983,6051.6,0.5518,1.176,1.368
theta0.5_|o|^2<=12,179,2.2361,100000,6,1.5,1e-06,6.182,12.7854,0.4,71.3,0,12095,3339.6,4613.9,0.7238,1.101,1.199,12095,4613.9,0.7238,1.101,1.199
theta0.5_|o|^2<=12,179,2.2361,1000000,0,1.5,1e-06,6.182,0.0927,1000000.0,71.3,1,27,3339.6,27000000.0,0.0001,1.500,2.500,179,179000000.0,0.0000,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,1,1.5,1e-06,6.182,0.1855,125000.0,71.3,1,27,3339.6,3375000.0,0.0010,1.499,2.496,179,22375000.0,0.0001,1.500,2.499
theta0.5_|o|^2<=12,179,2.2361,1000000,2,1.5,1e-06,6.182,0.3709,15625.0,71.3,1,27,3339.6,421875.0,0.0079,1.494,2.471,179,2796875.0,0.0012,1.499,2.496
theta0.5_|o|^2<=12,179,2.2361,1000000,3,1.5,1e-06,6.182,0.7418,1953.1,71.3,1,27,3339.6,52734.4,0.0633,1.454,2.283,179,349609.4,0.0096,1.493,2.465
theta0.5_|o|^2<=12,179,2.2361,1000000,4,1.5,1e-06,6.182,1.4836,244.1,71.3,1,117,3339.6,28564.5,0.1169,1.417,2.127,179,43701.2,0.0764,1.445,2.243
theta0.5_|o|^2<=12,179,2.2361,1000000,5,1.5,1e-06,6.182,2.9672,30.5,71.3,0,311,3339.6,9491.0,0.3519,1.276,1.636,311,9491.0,0.3519,1.276,1.636
theta0.5_|o|^2<=12,179,2.2361,1000000,6,1.5,1e-06,6.182,5.9344,3.8,71.3,0,1689,3339.6,6443.0,0.5183,1.191,1.406,1689,6443.0,0.5183,1.191,1.406
theta0.5_|o|^2<=12,179,2.2361,1000,0,2.0,1e-06,6.182,1.2363,1000.0,169.0,1,81,7916.0,81000.0,0.0977,1.430,2.180,179,179000.0,0.0442,1.468,2.344
theta0.5_|o|^2<=12,179,2.2361,1000,1,2.0,1e-06,6.182,2.4727,125.0,169.0,0,275,7916.0,34375.0,0.2303,1.345,1.858,275,34375.0,0.2303,1.345,1.858
theta0.5_|o|^2<=12,179,2.2361,1000,2,2.0,1e-06,6.182,4.9454,15.6,169.0,0,1015,7916.0,15859.4,0.4991,1.200,1.430,1015,15859.4,0.4991,1.200,1.430
theta0.5_|o|^2<=12,179,2.2361,1000,3,2.0,1e-06,6.182,9.8907,2.0,169.0,0,6001,7916.0,11720.7,0.6754,1.121,1.242,6001,11720.7,0.6754,1.121,1.242
theta0.5_|o|^2<=12,179,2.2361,1000,4,2.0,1e-06,6.182,19.7815,0.2,169.0,0,40249,7916.0,9826.4,0.8056,1.069,1.132,40249,9826.4,0.8056,1.069,1.132
theta0.5_|o|^2<=12,179,2.2361,1000,5,2.0,1e-06,6.182,39.5630,0.0,169.0,0,289817,7916.0,8844.5,0.8950,1.036,1.067,289817,8844.5,0.8950,1.036,1.067
theta0.5_|o|^2<=12,179,2.2361,1000,6,2.0,1e-06,6.182,79.1259,0.0,169.0,0,2194305,7916.0,8370.6,0.9457,1.018,1.034,2194305,8370.6,0.9457,1.018,1.034
theta0.5_|o|^2<=12,179,2.2361,10000,0,2.0,1e-06,6.182,0.5739,10000.0,169.0,1,27,7916.0,270000.0,0.0293,1.478,2.395,179,1790000.0,0.0044,1.497,2.484
theta0.5_|o|^2<=12,179,2.2361,10000,1,2.0,1e-06,6.182,1.1477,1250.0,169.0,1,81,7916.0,101250.0,0.0782,1.444,2.238,179,223750.0,0.0354,1.474,2.374
theta0.5_|o|^2<=12,179,2.2361,10000,2,2.0,1e-06,6.182,2.2954,156.2,169.0,0,251,7916.0,39218.8,0.2018,1.362,1.919,251,39218.8,0.2018,1.362,1.919
theta0.5_|o|^2<=12,179,2.2361,10000,3,2.0,1e-06,6.182,4.5909,19.5,169.0,0,967,7916.0,18886.7,0.4191,1.240,1.535,967,18886.7,0.4191,1.240,1.535
theta0.5_|o|^2<=12,179,2.2361,10000,4,2.0,1e-06,6.182,9.1818,2.4,169.0,0,5041,7916.0,12307.1,0.6432,1.135,1.272,5041,12307.1,0.6432,1.135,1.272
theta0.5_|o|^2<=12,179,2.2361,10000,5,2.0,1e-06,6.182,18.3635,0.3,169.0,0,32615,7916.0,9953.3,0.7953,1.073,1.140,32615,9953.3,0.7953,1.073,1.140
theta0.5_|o|^2<=12,179,2.2361,10000,6,2.0,1e-06,6.182,36.7270,0.0,169.0,0,233319,7916.0,8900.4,0.8894,1.038,1.071,233319,8900.4,0.8894,1.038,1.071
theta0.5_|o|^2<=12,179,2.2361,100000,0,2.0,1e-06,6.182,0.2664,100000.0,169.0,1,27,7916.0,2700000.0,0.0029,1.498,2.489,179,17900000.0,0.0004,1.500,2.498
theta0.5_|o|^2<=12,179,2.2361,100000,1,2.0,1e-06,6.182,0.5327,12500.0,169.0,1,27,7916.0,337500.0,0.0235,1.483,2.415,179,2237500.0,0.0035,1.497,2.487
theta0.5_|o|^2<=12,179,2.2361,100000,2,2.0,1e-06,6.182,1.0654,1562.5,169.0,1,81,7916.0,126562.5,0.0625,1.455,2.286,179,279687.5,0.0283,1.479,2.398
theta0.5_|o|^2<=12,179,2.2361,100000,3,2.0,1e-06,6.182,2.1309,195.3,169.0,1,179,7916.0,34960.9,0.2264,1.347,1.866,179,34960.9,0.2264,1.347,1.866
theta0.5_|o|^2<=12,179,2.2361,100000,4,2.0,1e-06,6.182,4.2618,24.4,169.0,0,823,7916.0,20092.8,0.3940,1.253,1.571,823,20092.8,0.3940,1.253,1.571
theta0.5_|o|^2<=12,179,2.2361,100000,5,2.0,1e-06,6.182,8.5236,3.1,169.0,0,4115,7916.0,12558.0,0.6304,1.141,1.285,4115,12558.0,0.6304,1.141,1.285
theta0.5_|o|^2<=12,179,2.2361,100000,6,2.0,1e-06,6.182,17.0472,0.4,169.0,0,26649,7916.0,10165.8,0.7787,1.080,1.153,26649,10165.8,0.7787,1.080,1.153
theta0.5_|o|^2<=12,179,2.2361,1000000,0,2.0,1e-06,6.182,0.1236,1000000.0,169.0,1,27,7916.0,27000000.0,0.0003,1.500,2.499,179,179000000.0,0.0000,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,1,2.0,1e-06,6.182,0.2473,125000.0,169.0,1,27,7916.0,3375000.0,0.0023,1.498,2.491,179,22375000.0,0.0004,1.500,2.499
theta0.5_|o|^2<=12,179,2.2361,1000000,2,2.0,1e-06,6.182,0.4945,15625.0,169.0,1,27,7916.0,421875.0,0.0188,1.486,2.432,179,2796875.0,0.0028,1.498,2.489
theta0.5_|o|^2<=12,179,2.2361,1000000,3,2.0,1e-06,6.182,0.9891,1953.1,169.0,1,27,7916.0,52734.4,0.1501,1.395,2.041,179,349609.4,0.0226,1.483,2.418
theta0.5_|o|^2<=12,179,2.2361,1000000,4,2.0,1e-06,6.182,1.9781,244.1,169.0,1,125,7916.0,30517.6,0.2594,1.328,1.800,179,43701.2,0.1811,1.375,1.966
theta0.5_|o|^2<=12,179,2.2361,1000000,5,2.0,1e-06,6.182,3.9563,30.5,169.0,0,613,7916.0,18707.3,0.4232,1.238,1.529,613,18707.3,0.4232,1.238,1.529
theta0.5_|o|^2<=12,179,2.2361,1000000,6,2.0,1e-06,6.182,7.9126,3.8,169.0,0,3449,7916.0,13156.9,0.6017,1.153,1.314,3449,13156.9,0.6017,1.153,1.314
theta0.5_|o|^2<=12,179,2.2361,1000,0,2.5,1e-06,6.182,1.5454,1000.0,330.1,1,117,15460.9,117000.0,0.1321,1.407,2.086,179,179000.0,0.0864,1.438,2.213
theta0.5_|o|^2<=12,179,2.2361,1000,1,2.5,1e-06,6.182,3.0909,125.0,330.1,0,389,15460.9,48625.0,0.3180,1.294,1.693,389,48625.0,0.3180,1.294,1.693
theta0.5_|o|^2<=12,179,2.2361,1000,2,2.5,1e-06,6.182,6.1817,15.6,330.1,0,1911,15460.9,29859.4,0.5178,1.192,1.407,1911,29859.4,0.5178,1.192,1.407
theta0.5_|o|^2<=12,179,2.2361,1000,3,2.5,1e-06,6.182,12.3634,2.0,330.1,0,11075,15460.9,21630.9,0.7148,1.105,1.206,11075,21630.9,0.7148,1.105,1.206
theta0.5_|o|^2<=12,179,2.2361,1000,4,2.5,1e-06,6.182,24.7269,0.2,330.1,0,75415,15460.9,18411.9,0.8397,1.056,1.106,75415,18411.9,0.8397,1.056,1.106
theta0.5_|o|^2<=12,179,2.2361,1000,5,2.5,1e-06,6.182,49.4537,0.0,330.1,0,553961,15460.9,16905.5,0.9145,1.029,1.054,553961,16905.5,0.9145,1.029,1.054
theta0.5_|o|^2<=12,179,2.2361,1000,6,2.5,1e-06,6.182,98.9074,0.0,330.1,0,4239579,15460.9,16172.7,0.9560,1.015,1.027,4239579,16172.7,0.9560,1.015,1.027
theta0.5_|o|^2<=12,179,2.2361,10000,0,2.5,1e-06,6.182,0.7173,10000.0,330.1,1,27,15460.9,270000.0,0.0573,1.458,2.302,179,1790000.0,0.0086,1.494,2.468
theta0.5_|o|^2<=12,179,2.2361,10000,1,2.5,1e-06,6.182,1.4346,1250.0,330.1,1,117,15460.9,146250.0,0.1057,1.425,2.158,179,223750.0,0.0691,1.450,2.265
theta0.5_|o|^2<=12,179,2.2361,10000,2,2.5,1e-06,6.182,2.8693,156.2,330.1,0,311,15460.9,48593.8,0.3182,1.294,1.692,311,48593.8,0.3182,1.294,1.692
theta0.5_|o|^2<=12,179,2.2361,10000,3,2.5,1e-06,6.182,5.7386,19.5,330.1,0,1497,15460.9,29238.3,0.5288,1.186,1.394,1497,29238.3,0.5288,1.186,1.394
theta0.5_|o|^2<=12,179,2.2361,10000,4,2.5,1e-06,6.182,11.4772,2.4,330.1,0,9165,15460.9,22375.5,0.6910,1.115,1.228,9165,22375.5,0.6910,1.115,1.228
theta0.5_|o|^2<=12,179,2.2361,10000,5,2.5,1e-06,6.182,22.9544,0.3,330.1,0,61127,15460.9,18654.5,0.8288,1.061,1.114,61127,18654.5,0.8288,1.061,1.114
theta0.5_|o|^2<=12,179,2.2361,10000,6,2.5,1e-06,6.182,45.9088,0.0,330.1,0,446257,15460.9,17023.4,0.9082,1.032,1.058,446257,17023.4,0.9082,1.032,1.058
theta0.5_|o|^2<=12,179,2.2361,100000,0,2.5,1e-06,6.182,0.3330,100000.0,330.1,1,27,15460.9,2700000.0,0.0057,1.496,2.479,179,17900000.0,0.0009,1.499,2.497
theta0.5_|o|^2<=12,179,2.2361,100000,1,2.5,1e-06,6.182,0.6659,12500.0,330.1,1,27,15460.9,337500.0,0.0458,1.466,2.339,179,2237500.0,0.0069,1.495,2.474
theta0.5_|o|^2<=12,179,2.2361,100000,2,2.5,1e-06,6.182,1.3318,1562.5,330.1,1,81,15460.9,126562.5,0.1222,1.414,2.113,179,279687.5,0.0553,1.460,2.309
theta0.5_|o|^2<=12,179,2.2361,100000,3,2.5,1e-06,6.182,2.6636,195.3,330.1,0,275,15460.9,53710.9,0.2879,1.311,1.746,275,53710.9,0.2879,1.311,1.746
theta0.5_|o|^2<=12,179,2.2361,100000,4,2.5,1e-06,6.182,5.3272,24.4,330.1,0,1293,15460.9,31567.4,0.4898,1.205,1.441,1293,31567.4,0.4898,1.205,1.441
theta0.5_|o|^2<=12,179,2.2361,100000,5,2.5,1e-06,6.182,10.6545,3.1,330.1,0,7443,15460.9,22714.2,0.6807,1.119,1.237,7443,22714.2,0.6807,1.119,1.237
theta0.5_|o|^2<=12,179,2.2361,100000,6,2.5,1e-06,6.182,21.3090,0.4,330.1,0,49773,15460.9,18986.9,0.8143,1.066,1.125,49773,18986.9,0.8143,1.066,1.125
theta0.5_|o|^2<=12,179,2.2361,1000000,0,2.5,1e-06,6.182,0.1545,1000000.0,330.1,1,27,15460.9,27000000.0,0.0006,1.500,2.498,179,179000000.0,0.0001,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,1,2.5,1e-06,6.182,0.3091,125000.0,330.1,1,27,15460.9,3375000.0,0.0046,1.497,2.483,179,22375000.0,0.0007,1.499,2.497
theta0.5_|o|^2<=12,179,2.2361,1000000,2,2.5,1e-06,6.182,0.6182,15625.0,330.1,1,27,15460.9,421875.0,0.0366,1.473,2.370,179,2796875.0,0.0055,1.496,2.479
theta0.5_|o|^2<=12,179,2.2361,1000000,3,2.5,1e-06,6.182,1.2363,1953.1,330.1,1,81,15460.9,158203.1,0.0977,1.430,2.180,179,349609.4,0.0442,1.468,2.344
theta0.5_|o|^2<=12,179,2.2361,1000000,4,2.5,1e-06,6.182,2.4727,244.1,330.1,0,275,15460.9,67138.7,0.2303,1.345,1.858,275,67138.7,0.2303,1.345,1.858
theta0.5_|o|^2<=12,179,2.2361,1000000,5,2.5,1e-06,6.182,4.9454,30.5,330.1,0,1015,15460.9,30975.3,0.4991,1.200,1.430,1015,30975.3,0.4991,1.200,1.430
theta0.5_|o|^2<=12,179,2.2361,1000000,6,2.5,1e-06,6.182,9.8907,3.8,330.1,0,6001,15460.9,22892.0,0.6754,1.121,1.242,6001,22892.0,0.6754,1.121,1.242
classic_|o|inf<=1,27,1.0000,1000,0,1.5,1e-03,4.789,0.7184,1000.0,370.7,1,27,1552.9,27000.0,0.0575,1.458,2.301,27,27000.0,0.0575,1.458,2.301
classic_|o|inf<=1,27,1.0000,1000,1,1.5,1e-03,4.789,1.4367,125.0,370.7,0,117,1552.9,14625.0,0.1062,1.424,2.157,117,14625.0,0.1062,1.424,2.157
classic_|o|inf<=1,27,1.0000,1000,2,1.5,1e-03,4.789,2.8735,15.6,370.7,0,311,1552.9,4859.4,0.3196,1.293,1.690,311,4859.4,0.3196,1.293,1.690
classic_|o|inf<=1,27,1.0000,1000,3,1.5,1e-03,4.789,5.7470,2.0,370.7,0,1545,1552.9,3017.6,0.5146,1.193,1.411,1545,3017.6,0.5146,1.193,1.411
classic_|o|inf<=1,27,1.0000,1000,4,1.5,1e-03,4.789,11.4940,0.2,370.7,0,9213,1552.9,2249.3,0.6904,1.115,1.228,9213,2249.3,0.6904,1.115,1.228
classic_|o|inf<=1,27,1.0000,1000,5,1.5,1e-03,4.789,22.9879,0.0,370.7,0,61175,1552.9,1866.9,0.8318,1.059,1.112,61175,1866.9,0.8318,1.059,1.112
classic_|o|inf<=1,27,1.0000,1000,6,1.5,1e-03,4.789,45.9758,0.0,370.7,0,447361,1552.9,1706.5,0.9100,1.031,1.057,447361,1706.5,0.9100,1.031,1.057
classic_|o|inf<=1,27,1.0000,10000,0,1.5,1e-03,4.789,0.3334,10000.0,370.7,1,27,1552.9,270000.0,0.0058,1.496,2.479,27,270000.0,0.0058,1.496,2.479
classic_|o|inf<=1,27,1.0000,10000,1,1.5,1e-03,4.789,0.6669,1250.0,370.7,1,27,1552.9,33750.0,0.0460,1.466,2.339,27,33750.0,0.0460,1.466,2.339
classic_|o|inf<=1,27,1.0000,10000,2,1.5,1e-03,4.789,1.3338,156.2,370.7,0,81,1552.9,12656.2,0.1227,1.413,2.111,81,12656.2,0.1227,1.413,2.111
classic_|o|inf<=1,27,1.0000,10000,3,1.5,1e-03,4.789,2.6675,19.5,370.7,0,275,1552.9,5371.1,0.2891,1.311,1.744,275,5371.1,0.2891,1.311,1.744
classic_|o|inf<=1,27,1.0000,10000,4,1.5,1e-03,4.789,5.3350,2.4,370.7,0,1293,1552.9,3156.7,0.4919,1.204,1.439,1293,3156.7,0.4919,1.204,1.439
classic_|o|inf<=1,27,1.0000,10000,5,1.5,1e-03,4.789,10.6700,0.3,370.7,0,7443,1552.9,2271.4,0.6837,1.118,1.234,7443,2271.4,0.6837,1.118,1.234
classic_|o|inf<=1,27,1.0000,10000,6,1.5,1e-03,4.789,21.3401,0.0,370.7,0,49773,1552.9,1898.7,0.8179,1.065,1.123,49773,1898.7,0.8179,1.065,1.123
classic_|o|inf<=1,27,1.0000,100000,0,1.5,1e-03,4.789,0.1548,100000.0,370.7,1,27,1552.9,2700000.0,0.0006,1.500,2.498,27,2700000.0,0.0006,1.500,2.498
classic_|o|inf<=1,27,1.0000,100000,1,1.5,1e-03,4.789,0.3095,12500.0,370.7,1,27,1552.9,337500.0,0.0046,1.497,2.483,27,337500.0,0.0046,1.497,2.483
classic_|o|inf<=1,27,1.0000,100000,2,1.5,1e-03,4.789,0.6191,1562.5,370.7,1,27,1552.9,42187.5,0.0368,1.473,2.369,27,42187.5,0.0368,1.473,2.369
classic_|o|inf<=1,27,1.0000,100000,3,1.5,1e-03,4.789,1.2381,195.3,370.7,0,81,1552.9,15820.3,0.0982,1.430,2.179,81,15820.3,0.0982,1.430,2.179
