manifest,job,host,gpu,julia,cuda,blas_threads,seed,policy,strategy,precision,P,lh,n,ell,window_classes,fit,note,n_cells,n_nodes,nodes_per_level,routes,routes_per_level,n_direct,nonempty_classes,max_class,mean_class,class_p50,class_p90,construction_ms,persistent_device_bytes,peak_device_bytes,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,b2m_ms,m2m_ms,m2l_ms,m2l_per_level,l2l_ms,l2b_ms,full_step_ms,m2l_device_alloc_bytes,step_device_alloc_bytes,full_step_host_alloc_bytes,route_uploads,operator_uploads,body_uploads,metadata_downloads,expansion_host_copies,err_potential,err_gradient
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,precomputed_y,Float64,4,false,20000,5,8,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,7.192463,134217728,203423744,1.132675,0.020585,0.10587,9.863975,0.059384,0.20937601220794022,0.9915520204231143,16.397343948483467,2.815401 3.836908 3.77269 5.978924,1.0257279500365257,0.2405440027359873,56.303957000000004,19908,22836,36147744,2,2,11,33,0,3.892650077168269e-5,0.0007731517783878955
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,precomputed_y,Float64,4,false,20000,5,32,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,7.747838,167772160,236978176,1.097676,0.022966,0.11282,4.234581,0.065624,0.210591999348253,0.9974079439416528,7.741664070636034,1.343103 0.984704 1.592109 4.273217,0.9842560393735766,0.23999999393709004,47.111194000000005,19832,22760,34283168,2,2,11,33,0,3.892650077168269e-5,0.0007731517783878955
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,precomputed_y,Float64,4,false,20000,5,64,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,7.779288,201326592,270532608,0.955792,0.019979,0.100346,2.993311,0.062646,0.21004800510127097,0.9945599595084786,6.1799040995538235,0.780687 0.508821 1.275135 3.972048,0.9742080001160502,0.23920000239741057,44.673065,19828,22756,33931680,2,2,11,33,0,3.892650077168269e-5,0.0007731517783879094
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,precomputed_y,Float64,4,false,20000,5,256,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,11.435279,436207616,505413632,0.960961,0.021805,0.096648,2.217356,0.060348,0.2104640007019043,0.9958400623872876,5.373439751565456,0.315562 0.309565 1.108086 3.800565,0.9847360197454691,0.2397759963059798,43.75161000000001,19828,22756,33743168,2,2,11,33,0,3.892650077168269e-5,0.0007731517783879094
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,precomputed_y,Float64,4,false,20000,5,1740,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,9.935605,503316480,572522496,1.140201,0.020128,0.106399,0.447295,0.058956,0.21020800340920687,0.9888639906421304,5.113792140036821,0.191135 0.258235 1.044753 3.75258,0.977023970335722,0.2382079983362928,42.228168000000004,19828,22756,33678512,2,2,11,33,0,3.8926500771668815e-5,0.0007731517783879094
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,5,1,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,19.361142,100663296,169869312,1.086121,0.0247,0.117092,63.629262,0.072087,0.21020800340920687,0.992352026514709,70.59507071971893,13.69242 13.762469 21.655353 21.576132,1.0265279561281204,0.24048000341281295,113.618881,20224,23152,42646192,2,2,11,33,0,3.892650077168269e-5,0.0007731517783878261
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,5,4,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,19.604725,100663296,169869312,1.386192,0.025362,0.129146,18.02345,0.066896,0.21049600036349148,0.9917119750753045,19.70496028661728,3.517327 5.498954 5.385637 5.453494,1.026047975756228,0.24012799258343875,60.542956000000004,19908,22836,35830704,2,2,11,33,0,3.892650077168269e-5,0.0007731517783877845
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,5,8,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,19.255366,100663296,203423744,0.983295,0.020143,0.10681,9.749425,0.059282,0.2104319864884019,0.9962240001186728,10.268192738294601,1.819704 3.03171 2.794038 3.064498,0.9879999561235309,0.23910400341264904,49.397948,19908,22836,34439184,2,2,11,33,0,3.892650077169657e-5,0.0007731517783878122
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,5,32,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,19.384536,134217728,203423744,0.948405,0.018687,0.097057,3.607507,0.062808,0.2101760037476197,0.9900160366669297,3.7113919388502836,0.821395 0.751832 0.840442 1.547774,0.9739199886098504,0.2407040010439232,42.121163,19832,22760,33419376,2,2,11,33,0,3.892650077168269e-5,0.0007731517783877706
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,5,64,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,19.513091,167772160,270532608,0.952183,0.018714,0.101864,2.488934,0.059214,0.21020800340920687,1.0053119622170925,2.6643199380487204,0.456014 0.384136 0.574239 1.429641,0.9792320197448134,0.24105599732138216,40.930233,19828,22756,33215440,2,2,11,33,0,3.892650077168269e-5,0.0007731517783877845
