host,gpu,variant,precision,P,lh,n,ell,fit,note,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,dense_operator_bytes,dense_persistent_bytes,dense_estimated_peak_bytes,chunk,whole_pass,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-2,NVIDIA H200,concat,Float64,4,false,2000,3,true,,32396,217604,0,0,0.0,566.691006,335544320,404750336,0,0,0,16384,true,0.3290239837951958,0.5918719689361751,0.26431999867781997,0.5798719939775765,0.4578240041155368,80,4.241817999999999,1481632,1.2898346349321521e-8,6.286091274801398e-7
m13h-1-2,NVIDIA H200,factored,Float64,4,false,2000,3,true,,32396,217604,1584,48,20.4520202020202,5.602526,67108864,136314880,0,0,0,16384,true,0.3286080027464777,0.5977280088700354,0.16512000001966953,0.5858560325577855,0.4533120081759989,0,4.079077000000001,1418528,1.2898346390954885e-8,6.286091274801398e-7
m13h-1-2,NVIDIA H200,precomputed_y,Float64,4,false,2000,3,true,,32396,217604,1584,48,20.4520202020202,7.498251,67108864,136314880,0,0,0,16384,true,0.3283840196672827,0.5939200054854155,0.1085760013666004,0.5868480075150728,0.447263999376446,0,4.051082999999999,1419440,1.2898346349321521e-8,6.286091274940175e-7
m13h-1-2,NVIDIA H200,dense,Float64,4,false,2000,3,true,,32396,217604,1584,48,20.4520202020202,66.70497,67108864,136314880,7920000,15528512,15528512,16384,true,0.32803197973407805,0.5905600264668465,36.17238253355026,0.5869119777344167,0.46035199193283916,25360,40.772706,3971504,1.2898346307688158e-8,6.286091275148342e-7
m13h-1-2,NVIDIA H200,dense_perclass,Float64,4,false,2000,3,true,,32396,217604,1584,48,20.4520202020202,66.742795,67108864,136314880,7920000,15528512,15528512,16384,false,0.3282240068074316,0.5926399608142674,49.15302246809006,0.5861120298504829,0.4547520074993372,25344,53.623589,6298576,1.2898346321565946e-8,6.286091274523842e-7
m13h-1-2,NVIDIA H200,dense,Float32,4,false,2000,3,true,,32396,217604,1584,48,20.4520202020202,900.258692,33554432,136314880,3960000,8291712,8291712,16384,true,0.20371199934743345,0.60659198788926,36.53859347105026,0.6058560102246702,0.37772799259983003,12680,40.893811,3966576,7.898867653011177e-8,1.5059639918879597e-5
m13h-1-2,NVIDIA H200,dense_perclass,Float32,4,false,2000,3,true,,32396,217604,1584,48,20.4520202020202,900.118321,33554432,136314880,3960000,8291712,8291712,16384,false,0.20396799664013088,0.607936002779752,50.230272114276886,0.5818880163133144,0.37379199056886137,12672,52.975464,6293648,9.736288700268325e-8,1.5059639918879597e-5
m13h-1-2,NVIDIA H200,concat,Float64,4,true,2000,3,true,,23646,222370,0,0,0.0,7.248773,872415232,941621248,0,0,0,16384,true,0.33212799462489784,1.303840079344809,0.5490879993885756,1.2889279751107097,0.6987520027905703,160,6.191249,1817968,NaN,3.268261120695226e-7
m13h-1-2,NVIDIA H200,factored,Float64,4,true,2000,3,true,,23646,222370,1368,41,17.285087719298247,6.353686,100663296,169869312,0,0,0,16384,true,0.3327040176372975,1.3037760509178042,0.34348800545558333,1.2915199622511864,0.6998720346018672,0,5.9154409999999995,1725552,NaN,3.2682611207125734e-7
m13h-1-2,NVIDIA H200,precomputed_y,Float64,4,true,2000,3,true,,23646,222370,1368,41,17.285087719298247,8.862838,100663296,169869312,0,0,0,16384,true,0.3333440108690411,1.3063360238447785,0.23488000442739576,1.2873279629275203,0.6936319987289608,0,5.902289,1723264,NaN,3.268261120695226e-7
