host,gpu,variant,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-1,NVIDIA H200,concat,12,false,2000,3,222454,30555,0,0,0.0,29.047205,2013265920,2082471936,7.641152013093233,0.6152639980427921,8.684000000357628,0.6010239594615996,7.932447828352451,160,25.948088000000002,1700000,3.5710170931402274e-11,5.377662440353426e-9
m13h-1-1,NVIDIA H200,factored,12,false,2000,3,222454,30555,3282,310,67.78001218769043,277.061995,167772160,236978176,7.6409922912716866,0.638432044070214,153.65834534168243,0.6312320474535227,7.910336367785931,0,308.186569,178593056,3.5710157053614466e-11,5.3776624542312135e-9
m13h-1-1,NVIDIA H200,concat,12,true,2000,3,203136,36964,0,0,0.0,45.585772,5033164800,5102370816,7.008384447544813,1.323551987297833,16.371039673686028,1.3042559148743749,9.884095750749111,320,35.483077,2104432,NaN,1.8646073712824673e-9
m13h-1-1,NVIDIA H200,factored,12,true,2000,3,203136,36964,3246,262,62.58040665434381,454.878328,234881024,304087040,7.007616106420755,1.3416960136964917,361.4182770252228,1.3199039967730641,9.855199605226517,0,505.968655,225043360,NaN,1.864607381690808e-9
m13h-1-1,NVIDIA H200,concat,4,false,20000,3,34512,227632,0,0,0.0,6.488493,335544320,404750336,1.8670079298317432,0.5987200420349836,0.2572160155978054,0.5839040386490524,5.839392077177763,80,10.792399,1509504,1.2820725481255124e-8,6.174110715531644e-7
m13h-1-1,NVIDIA H200,factored,4,false,20000,3,34512,227632,1584,48,21.78787878787879,72.710891,67108864,136314880,1.8974720733240247,0.5931520136073232,51.574110984802246,0.5881599499844015,5.923232063651085,0,105.832201,53967808,1.2820725467377336e-8,6.174110715392866e-7
m13h-1-1,NVIDIA H200,concat,4,true,20000,3,25704,236440,0,0,0.0,7.946374,872415232,941621248,2.13247979991138,1.2915519764646888,0.5468159797601402,1.2730879243463278,8.39980784803629,160,14.912265,1846736,NaN,4.4628747051383977e-7
m13h-1-1,NVIDIA H200,factored,4,true,20000,3,25704,236440,1368,42,18.789473684210527,90.778384,67108864,136314880,2.160671865567565,1.351583981886506,124.43740665912628,1.3327680062502623,8.303424343466759,0,182.112957,67083440,NaN,4.4628747054853424e-7
m13h-1-1,NVIDIA H200,concat,8,false,20000,3,192480,69664,0,0,0.0,11.05748,973078528,1042284544,11.231007985770702,0.6124799838289618,3.164864145219326,0.5965759628452361,13.28355260193348,160,30.512226,1643360,1.8891835318335382e-10,1.302426724802963e-8
m13h-1-1,NVIDIA H200,factored,8,false,20000,3,192480,69664,3124,256,61.613316261203586,186.535376,134217728,203423744,11.189311742782593,0.6359360413625836,110.366590321064,0.63222402241081,13.317503966391087,0,239.76065799999998,137619840,1.8891838093892943e-10,1.302426724802963e-8
m13h-1-1,NVIDIA H200,concat,8,true,20000,3,192480,69664,0,0,0.0,16.172078,2516582400,2585788416,11.554784141480923,1.3282239669933915,6.716224364936352,1.3027199311181903,19.37916688621044,320,40.955584,2048176,NaN,1.0464450584269508e-8
m13h-1-1,NVIDIA H200,factored,8,true,20000,3,192480,69664,3124,256,61.613316261203586,313.96399,167772160,236978176,11.539648286998272,1.3885439839214087,290.8293902873993,1.366080017760396,19.376415759325027,0,419.987999,183897600,NaN,1.0464450580800061e-8
m13h-1-1,NVIDIA H200,concat,12,false,20000,3,230616,31528,0,0,0.0,29.687821,2013265920,2082471936,42.88800060749054,0.6190080312080681,8.997215889394283,0.605983950663358,45.60060799121857,160,100.828988,1727872,2.4663382447442928e-11,3.273114196344906e-9
m13h-1-1,NVIDIA H200,factored,12,false,20000,3,230616,31528,3282,320,70.26691042047533,282.149264,167772160,236978176,42.93420910835266,0.6418239790946245,154.48617935180664,0.6316479993984103,45.56012898683548,0,335.381186,178620944,2.4663382447442928e-11,3.273114196344906e-9
m13h-1-1,NVIDIA H200,concat,12,true,20000,3,222648,39496,0,0,0.0,46.577241,5066719232,5135925248,41.65232181549072,1.3259199913591146,17.887713387608528,1.3113280292600393,59.88095700740814,320,123.355059,2133200,NaN,1.2386041203099607e-9
m13h-1-1,NVIDIA H200,factored,12,true,20000,3,222648,39496,3252,280,68.4649446494465,467.865952,234881024,304087040,41.650526225566864,1.3471039710566401,362.2937798500061,1.3169599696993828,59.892769902944565,0,543.311412,225194544,NaN,1.2386041341877485e-9
