level,q_parent,q_child,offset,orbit,routes,admissible_rank,sigma,relative_tail_at_rank7
2,6,6,-3:3:-3,3:3:3,1,13,689.2243632052567:659.376283295409:178.78527125789267:120.48857860768128:81.33685081526608:12.93611432591114:11.937347952091402:3.835091138204046:3.148264592812301:1.3992223544468585:0.5638112417688036:0.349066578527798:0.2887600341692347:0.07071434140396132:0.045764332443799176:0.02909954485939816,0.005304984251541297
2,6,6,-2:3:-3,3:3:2,2,13,1155.0106200519597:1100.6508402792506:367.09176616558074:256.08259641708986:168.119971299961:30.93727786184259:29.044796185007616:5.490347158203086:4.750447290877249:2.2748772210780395:0.7318998631518923:0.6393409018457462:0.47715856298309844:0.0976518838723917:0.06775339998454136:0.0382136757597022,0.004613080225583572
2,6,6,-1:3:-3,3:3:1,3,13,1614.4136127109998:1548.3872969471493:609.3213810930688:440.7599885739291:282.7793713031999:59.67379154506713:56.91631253286754:7.088907938752285:6.277625033509511:3.1807500710279797:1.0022622674696176:0.9974775764314635:0.6180296561632888:0.12279841399698503:0.08949547287567698:0.04607103946742672,0.00425039793198299
2,6,6,0:3:-3,3:3:0,4,13,1810.8592812624013:1747.0864218221016:729.9706464413553:538.5326519542748:343.4485612891741:76.70398490101392:73.620139610838:7.790302478523356:6.928259282555718:3.5829928686357535:1.1881436462567756:1.1543284096237834:0.6624370491833923:0.1335798628965351:0.09913051496460153:0.04928656624370749,0.004138331609494362
2,6,6,1:3:-3,3:3:1,3,13,1614.4136127109973:1548.3872969471488:609.3213810930687:440.75998857392887:282.7793713032002:59.67379154506719:56.91631253286751:7.088907938752318:6.277625033509529:3.1807500710279504:1.002262267469632:0.9974775764314779:0.6180296561633146:0.1227984139969886:0.08949547287572225:0.04607103946741346,0.004250397931983007
2,6,6,2:3:-3,3:3:2,2,13,1155.01062005196:1100.6508402792504:367.09176616558085:256.08259641709003:168.11997129996104:30.937277861842528:29.044796185007616:5.490347158203075:4.750447290877254:2.2748772210780404:0.7318998631518834:0.6393409018457346:0.47715856298309434:0.09765188387238814:0.06775339998453564:0.03821367575972602,0.004613080225583568
2,6,6,3:3:-3,3:3:3,1,13,689.2243632052564:659.3762832954089:178.78527125789276:120.48857860768125:81.3368508152661:12.93611432591109:11.937347952091402:3.835091138204048:3.1482645928122994:1.3992223544468625:0.563811241768801:0.34906657852780026:0.2887600341692452:0.07071434140395191:0.045764332443818646:0.029099544859388767,0.005304984251541301
2,6,6,-3:-3:-2,3:3:2,2,11,2017.3678727537576:1994.9858742293338:368.19013841176843:226.74946997933395:149.24869464230576:19.821460962440728:17.862555529951937:7.286524647932609:5.955857822644393:2.163533692248687:0.7306440653933585:0.4884578201579674:0.3808810016572057:0.10288624749481554:0.05968498917184226:0.04345336512363715,0.0033767176298102794
2,6,6,-2:-3:-2,3:2:2,4,11,4384.586820125406:4270.621732344057:889.5510753388968:573.3033178901798:385.0306837413441:53.596968299152:48.47719584207909:12.285713668362007:10.601033021638619:4.095829021552318:1.0481820035324463:0.9869868441294724:0.6523524988364182:0.1541830968307169:0.09360335732359783:0.061465357847887155,0.002701155616319222
2,6,6,-1:-3:-2,3:2:1,6,10,7650.014674873479:7368.49275053888:1741.7195786684433:1159.89928245107:782.4568080493118:116.0624391212629:105.74935421272713:18.066579270859684:16.180049631718642:6.639984479137731:1.6971009601392708:1.5879793157809694:0.8652461896539841:0.20851771464150687:0.13119163237874704:0.07839193533694022,0.00232780189493061
2,6,6,0:-3:-2,3:2:0,8,10,9385.29780948685:9005.863875639765:2256.7420242313897:1520.2955608002014:1023.1531519020954:156.92047156099756:143.56952260239157:20.88106063859341:18.949915921629902:7.980852141803868:2.0946994956301372:1.9127230764010987:0.9433374282229705:0.23386198853559476:0.14921098168382485:0.08570085651928235,0.0022099919704868386
2,6,6,1:-3:-2,3:2:1,6,10,7650.01467487348:7368.492750538879:1741.7195786684426:1159.8992824510688:782.456808049312:116.0624391212631:105.74935421272708:18.066579270859695:16.1800496317186:6.639984479137761:1.69710096013929:1.5879793157809532:0.8652461896540112:0.20851771464145416:0.13119163237895287:0.07839193533680025,0.002327801894930609
2,6,6,2:-3:-2,3:2:2,4,11,4384.586820125404:4270.621732344059:889.5510753388971:573.3033178901804:385.030683741344:53.59696829915193:48.477195842079084:12.285713668362044:10.6010330216386:4.095829021552345:1.048182003532449:0.9869868441294668:0.6523524988364422:0.1541830968307361:0.09360335732364276:0.061465357847917006,0.0027011556163192255
2,6,6,3:-3:-2,3:3:2,2,11,2017.3678727537576:1994.9858742293334:368.1901384117684:226.74946997933398:149.2486946423058:19.82146096244072:17.86255552995194:7.286524647932597:5.955857822644399:2.1635336922486914:0.7306440653933465:0.48845782015793965:0.3808810016571718:0.10288624749481509:0.059684989171883966:0.04345336512364284,0.0033767176298102777
