n,stage,kernel,count,total_ms
1000000,l2l,"void gemmSN_NN_kernel<float, 128, 2, 4, 8, 4, 4, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",5.0,0.009775161743164062
1000000,l2b_near,"_cuda_direct_pairs_functor_kernel_(SingularSource, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, Int64, Val<false>)",1.0,2.253437042236328
1000000,l2b_near,"_cuda_l2b_output_kernel_(CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, Int64, Int64, Val<false>, Int64)",1.0,0.4054069519042969
1000000,l2b_near,"[set device memory]",1.0,0.0045299530029296875
1000000,l2b_near,"[copy pageable to device memory]",0.2,0.0001430511474609375
1000000,eval,"_cuda_direct_pairs_functor_kernel_(SingularSource, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, Int64, Val<false>)",1.0,2.2504329681396484
1000000,eval,"_cuda_hier_dense_tensor16_kernel_(CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 3, 1>, CuDeviceArray<Float16, 3, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, Int64, Int64)",4.0,0.7862091064453125
1000000,eval,"partial_scan(_, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<0, Tuple<>>, CartesianIndices<0, Tuple<>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Int32, void, Val<true>)",6.0,0.6140232086181641
1000000,eval,"_cuda_b2m_leaf_nodes_kernel_(CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, Int64, Int64)",1.0,0.5862712860107422
1000000,eval,"_cuda_l2b_output_kernel_(CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, Int64, Int64, Val<false>, Int64)",1.0,0.4090309143066406
1000000,eval,"_cuda_hier_route_compact_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int32, 2, 1>, Int64, Int64, Int64, Int64, Int64, Int64, Int64)",4.0,0.2246856689453125
