case,n,structure,param,pop,count
wake,1000000,uniform,5,1077,4
wake,1000000,uniform,5,1078,2
wake,1000000,uniform,5,1079,4
wake,1000000,uniform,5,1080,3
wake,1000000,uniform,5,1081,9
wake,1000000,uniform,5,1082,7
wake,1000000,uniform,5,1083,4
wake,1000000,uniform,5,1084,7
wake,1000000,uniform,5,1085,5
wake,1000000,uniform,5,1086,7
wake,1000000,uniform,5,1087,4
wake,1000000,uniform,5,1088,5
wake,1000000,uniform,5,1089,5
wake,1000000,uniform,5,1090,4
wake,1000000,uniform,5,1091,8
wake,1000000,uniform,5,1092,5
wake,1000000,uniform,5,1093,6
wake,1000000,uniform,5,1094,6
wake,1000000,uniform,5,1095,2
wake,1000000,uniform,5,1096,7
wake,1000000,uniform,5,1097,4
wake,1000000,uniform,5,1098,11
wake,1000000,uniform,5,1099,7
wake,1000000,uniform,5,1100,9
wake,1000000,uniform,5,1101,8
wake,1000000,uniform,5,1102,8
wake,1000000,uniform,5,1103,7
wake,1000000,uniform,5,1104,5
wake,1000000,uniform,5,1105,8
wake,1000000,uniform,5,1106,12
wake,1000000,uniform,5,1107,8
wake,1000000,uniform,5,1108,4
wake,1000000,uniform,5,1109,8
wake,1000000,uniform,5,1110,8
wake,1000000,uniform,5,1111,7
wake,1000000,uniform,5,1112,9
wake,1000000,uniform,5,1113,9
wake,1000000,uniform,5,1114,11
wake,1000000,uniform,5,1115,10
wake,1000000,uniform,5,1116,8
wake,1000000,uniform,5,1117,11
wake,1000000,uniform,5,1118,6
wake,1000000,uniform,5,1119,7
wake,1000000,uniform,5,1120,9
wake,1000000,uniform,5,1121,4
wake,1000000,uniform,5,1122,6
wake,1000000,uniform,5,1123,6
wake,1000000,uniform,5,1124,14
wake,1000000,uniform,5,1125,8
wake,1000000,uniform,5,1126,7
wake,1000000,uniform,5,1127,2
wake,1000000,uniform,5,1128,7
wake,1000000,uniform,5,1129,8
wake,1000000,uniform,5,1130,9
wake,1000000,uniform,5,1131,6
wake,1000000,uniform,5,1132,12
wake,1000000,uniform,5,1133,7
wake,1000000,uniform,5,1134,6
wake,1000000,uniform,5,1135,6
wake,1000000,uniform,5,1136,13
wake,1000000,uniform,5,1137,7
wake,1000000,uniform,5,1138,8
wake,1000000,uniform,5,1139,4
wake,1000000,uniform,5,1140,8
wake,1000000,uniform,5,1141,5
wake,1000000,uniform,5,1142,7
wake,1000000,uniform,5,1143,5
wake,1000000,uniform,5,1144,3
wake,1000000,uniform,5,1145,3
wake,1000000,uniform,5,1146,7
wake,1000000,uniform,5,1147,6
wake,1000000,uniform,5,1148,5
wake,1000000,uniform,5,1149,6
wake,1000000,uniform,5,1150,6
wake,1000000,uniform,5,1151,4
wake,1000000,uniform,5,1152,3
wake,1000000,uniform,5,1153,5
wake,1000000,uniform,5,1154,5
wake,1000000,uniform,5,1155,3
wake,1000000,uniform,5,1156,4
wake,1000000,uniform,5,1157,5
wake,1000000,uniform,5,1158,8
wake,1000000,uniform,5,1159,2
wake,1000000,uniform,5,1160,3
wake,1000000,uniform,5,1161,3
wake,1000000,uniform,5,1162,6
wake,1000000,uniform,5,1163,2
wake,1000000,uniform,5,1164,3
wake,1000000,uniform,5,1165,2
wake,1000000,uniform,5,1166,3
