schema_version,source_hash,slurm_job_id,host,julia_version,blas_vendor,blas_threads,julia_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,cells,nodes,routes,routes_per_level,direct_pairs,nclasses,construction_ms,grid_refresh_ms,occupancy_refresh_ms,direct_generation_ms,scan_compact_ms,tree_group_refresh_ms,update_ms_median,update_ms_min,update_ms_iqr,b2m_ms_median,m2m_ms_median,m2l_ms_median,m2l_ms_min,m2l_ms_iqr,l2l_ms_median,l2b_ms_median,step_ms_median,step_ms_min,step_ms_iqr,m2l_alloc_bytes,update_alloc_bytes,step_alloc_bytes,occupancy_bytes,operator_bytes,metadata_bytes,expansion_bytes,scratch_bytes,persistent_bytes,peak_bytes,accuracy_samples,potential_error,gradient_error,expansion_host_copies,route_uploads,operator_uploads
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,32,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7710.89165,1.18033,0.011302,3.746344,46.677199,0.306346,52.190054,52.147384,0.09071050000000014,NaN,NaN,2529.32257,2524.372373,4.991930499999398,NaN,NaN,NaN,NaN,NaN,6768,15024,33056,18724,0,6291456,2246880,149815704,149815704,685285376,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,4,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7670.162733,1.215065,0.011652,3.768786,46.906011,0.3137,52.582023,52.475292,0.0772049999999993,NaN,NaN,2335.109494,2334.125794,2.6862654999999904,NaN,NaN,NaN,NaN,NaN,39488,47744,98496,18724,0,786432,2246880,31916440,31916440,602624000,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,64,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7723.554724,1.203994,0.011972,3.730273,46.381002,0.309662,52.065659,51.905819,0.11350300000000146,NaN,NaN,2703.14445,2678.211723,12.93721349999987,NaN,NaN,NaN,NaN,NaN,4080,12336,27680,18724,0,12582912,2246880,284557720,284557720,771973120,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,8,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7578.322721,1.196299,0.011662,3.772222,46.130411,0.311716,51.67671,51.651331,0.1736464999999967,NaN,NaN,2354.465236,2353.676804,4.012207999999646,NaN,NaN,NaN,NaN,NaN,22048,30304,63616,18724,0,1572864,2246880,48759192,48759192,601849856,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,128,4064,4649,632410,0;0;3096;53352;575962,96072,948,7651.483795,1.21798,0.011121,0.603916,8.618136,0.302629,11.007138,10.998031,0.09632649999999998,NaN,NaN,612.645855,608.382908,7.0098469999999224,NaN,NaN,NaN,NaN,NaN,1360,9616,22240,18724,0,25165824,2246880,284272384,284272384,705073152,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,16,4064,4649,632410,0;0;3096;53352;575962,96072,948,7550.542759,1.213592,0.012133,0.61126,8.666447,0.312026,11.08271,11.080626,0.03781649999999992,NaN,NaN,551.588255,544.641111,5.461389999999938,NaN,NaN,NaN,NaN,NaN,1872,10128,23264,18724,0,3145728,2246880,77955328,77955328,607891456,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,1,4064,4649,632410,0;0;3096;53352;575962,96072,948,7607.651524,1.199024,0.011161,0.598786,8.687063,0.310944,11.087787,11.037272,0.03531650000000042,NaN,NaN,495.326763,495.023182,0.4044204999999579,NaN,NaN,NaN,NaN,NaN,6160,14416,31840,18724,0,196608,2246880,14795008,14795008,579653632,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,2,4064,4649,632410,0;0;3096;53352;575962,96072,948,7638.382683,1.175339,0.01084,0.605258,8.742317,0.307328,11.122301,11.076967,0.0339735000000001,NaN,NaN,498.320913,496.38406,1.8032555000000343,NaN,NaN,NaN,NaN,NaN,4240,12496,28000,18724,0,393216,2246880,19005696,19005696,568639488,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,32,4064,4649,632410,0;0;3096;53352;575962,96072,948,7632.425191,1.197582,0.011001,0.598214,8.672488,0.303451,11.048807,11.016596,0.021460499999999882,NaN,NaN,622.714053,617.972357,2.41757599999994,NaN,NaN,NaN,NaN,NaN,1552,9808,22624,18724,0,6291456,2246880,145326336,145326336,634404864,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,4,4064,4649,632410,0;0;3096;53352;575962,96072,948,7542.608582,1.213522,0.011632,0.608004,8.771192,0.312979,11.181413,11.129075,0.04481450000000109,NaN,NaN,516.125433,515.805652,1.236259999999902,NaN,NaN,NaN,NaN,NaN,3280,11536,26080,18724,0,786432,2246880,27427072,27427072,593707008,0,NaN,NaN,0,0,0
