stage,form,precision,blas_threads,P,batch,measured_batch,scaled_from_per_expansion,seconds,seconds_per_expansion
axis_swap,dense,Float32,4,8,64,64,false,1.098750e-05,1.716797e-07
axis_swap,dense_packed,Float32,4,8,64,64,false,2.427080e-05,3.792313e-07
axis_swap,compiled_block_loop,Float32,4,8,64,64,false,4.512080e-05,7.050125e-07
m2m_z_translation,recurrence,Float64,4,12,1,1,false,4.715000e-07,4.715000e-07
m2l_z_translation,recurrence,Float64,4,12,1,1,false,9.647090e-07,9.647090e-07
l2l_z_translation,recurrence,Float64,4,12,1,1,false,5.217920e-07,5.217920e-07
axis_swap,recurrence,Float64,4,12,1,1,false,8.717080e-06,8.717080e-06
m2m_z_translation,dense,Float64,4,12,1,1,false,9.803750e-07,9.803750e-07
m2m_z_translation,dense_packed,Float64,4,12,1,1,false,1.380420e-06,1.380420e-06
m2m_z_translation,compiled_block_loop,Float64,4,12,1,1,false,6.545420e-07,6.545420e-07
m2l_z_translation,dense,Float64,4,12,1,1,false,9.793330e-07,9.793330e-07
m2l_z_translation,dense_packed,Float64,4,12,1,1,false,1.375410e-06,1.375410e-06
m2l_z_translation,compiled_block_loop,Float64,4,12,1,1,false,6.546660e-07,6.546660e-07
l2l_z_translation,dense,Float64,4,12,1,1,false,9.775000e-07,9.775000e-07
l2l_z_translation,dense_packed,Float64,4,12,1,1,false,1.380840e-06,1.380840e-06
l2l_z_translation,compiled_block_loop,Float64,4,12,1,1,false,6.546660e-07,6.546660e-07
axis_swap,dense,Float64,4,12,1,1,false,1.528750e-06,1.528750e-06
axis_swap,dense_packed,Float64,4,12,1,1,false,2.096670e-06,2.096670e-06
axis_swap,compiled_block_loop,Float64,4,12,1,1,false,2.072090e-06,2.072090e-06
m2m_z_translation,dense,Float32,4,12,1,1,false,1.080420e-06,1.080420e-06
m2m_z_translation,dense_packed,Float32,4,12,1,1,false,1.405410e-06,1.405410e-06
m2m_z_translation,compiled_block_loop,Float32,4,12,1,1,false,6.542910e-07,6.542910e-07
m2l_z_translation,dense,Float32,4,12,1,1,false,1.058750e-06,1.058750e-06
m2l_z_translation,dense_packed,Float32,4,12,1,1,false,1.362920e-06,1.362920e-06
m2l_z_translation,compiled_block_loop,Float32,4,12,1,1,false,6.366660e-07,6.366660e-07
l2l_z_translation,dense,Float32,4,12,1,1,false,1.052920e-06,1.052920e-06
l2l_z_translation,dense_packed,Float32,4,12,1,1,false,1.377910e-06,1.377910e-06
l2l_z_translation,compiled_block_loop,Float32,4,12,1,1,false,6.778750e-07,6.778750e-07
axis_swap,dense,Float32,4,12,1,1,false,1.545000e-06,1.545000e-06
axis_swap,dense_packed,Float32,4,12,1,1,false,2.029170e-06,2.029170e-06
axis_swap,compiled_block_loop,Float32,4,12,1,1,false,2.085420e-06,2.085420e-06
m2m_z_translation,recurrence,Float64,4,12,8,8,false,3.754160e-06,4.692700e-07
m2l_z_translation,recurrence,Float64,4,12,8,8,false,7.802090e-06,9.752613e-07
l2l_z_translation,recurrence,Float64,4,12,8,8,false,4.286250e-06,5.357812e-07
axis_swap,recurrence,Float64,4,12,8,8,false,7.170830e-05,8.963537e-06
m2m_z_translation,dense,Float64,4,12,8,8,false,2.383340e-06,2.979175e-07
m2m_z_translation,dense_packed,Float64,4,12,8,8,false,4.402090e-06,5.502612e-07
m2m_z_translation,compiled_block_loop,Float64,4,12,8,8,false,5.329160e-06,6.661450e-07
m2l_z_translation,dense,Float64,4,12,8,8,false,2.383750e-06,2.979688e-07
m2l_z_translation,dense_packed,Float64,4,12,8,8,false,4.450420e-06,5.563025e-07
m2l_z_translation,compiled_block_loop,Float64,4,12,8,8,false,5.325000e-06,6.656250e-07
l2l_z_translation,dense,Float64,4,12,8,8,false,2.442910e-06,3.053637e-07
l2l_z_translation,dense_packed,Float64,4,12,8,8,false,4.378750e-06,5.473438e-07
l2l_z_translation,compiled_block_loop,Float64,4,12,8,8,false,5.325000e-06,6.656250e-07
axis_swap,dense,Float64,4,12,8,8,false,4.263330e-06,5.329162e-07
axis_swap,dense_packed,Float64,4,12,8,8,false,7.860840e-06,9.826050e-07
axis_swap,compiled_block_loop,Float64,4,12,8,8,false,1.560410e-05,1.950512e-06
m2m_z_translation,dense,Float32,4,12,8,8,false,2.255000e-06,2.818750e-07
m2m_z_translation,dense_packed,Float32,4,12,8,8,false,4.130830e-06,5.163537e-07
m2m_z_translation,compiled_block_loop,Float32,4,12,8,8,false,5.165830e-06,6.457288e-07
m2l_z_translation,dense,Float32,4,12,8,8,false,2.253330e-06,2.816663e-07
m2l_z_translation,dense_packed,Float32,4,12,8,8,false,4.137910e-06,5.172387e-07
m2l_z_translation,compiled_block_loop,Float32,4,12,8,8,false,5.311660e-06,6.639575e-07
l2l_z_translation,dense,Float32,4,12,8,8,false,2.323330e-06,2.904163e-07
l2l_z_translation,dense_packed,Float32,4,12,8,8,false,4.249590e-06,5.311988e-07
l2l_z_translation,compiled_block_loop,Float32,4,12,8,8,false,5.311250e-06,6.639063e-07
axis_swap,dense,Float32,4,12,8,8,false,3.920000e-06,4.900000e-07
axis_swap,dense_packed,Float32,4,12,8,8,false,7.569170e-06,9.461462e-07
axis_swap,compiled_block_loop,Float32,4,12,8,8,false,1.606660e-05,2.008325e-06
m2m_z_translation,recurrence,Float64,4,12,64,64,false,3.015840e-05,4.712250e-07
m2l_z_translation,recurrence,Float64,4,12,64,64,false,6.238750e-05,9.748047e-07
l2l_z_translation,recurrence,Float64,4,12,64,64,false,3.433750e-05,5.365234e-07
axis_swap,recurrence,Float64,4,12,64,64,false,5.737080e-04,8.964188e-06
m2m_z_translation,dense,Float64,4,12,64,64,false,1.455420e-05,2.274094e-07
m2m_z_translation,dense_packed,Float64,4,12,64,64,false,2.974580e-05,4.647781e-07
m2m_z_translation,compiled_block_loop,Float64,4,12,64,64,false,4.222080e-05,6.597000e-07
m2l_z_translation,dense,Float64,4,12,64,64,false,1.460000e-05,2.281250e-07
m2l_z_translation,dense_packed,Float64,4,12,64,64,false,2.973750e-05,4.646484e-07
m2l_z_translation,compiled_block_loop,Float64,4,12,64,64,false,4.221660e-05,6.596344e-07
l2l_z_translation,dense,Float64,4,12,64,64,false,1.456670e-05,2.276047e-07
l2l_z_translation,dense_packed,Float64,4,12,64,64,false,2.976660e-05,4.651031e-07
l2l_z_translation,compiled_block_loop,Float64,4,12,64,64,false,4.217910e-05,6.590484e-07
axis_swap,dense,Float64,4,12,64,64,false,2.869580e-05,4.483719e-07
axis_swap,dense_packed,Float64,4,12,64,64,false,5.628750e-05,8.794922e-07
axis_swap,compiled_block_loop,Float64,4,12,64,64,false,1.245830e-04,1.946609e-06
m2m_z_translation,dense,Float32,4,12,64,64,false,1.229160e-05,1.920562e-07
m2m_z_translation,dense_packed,Float32,4,12,64,64,false,2.631250e-05,4.111328e-07
m2m_z_translation,compiled_block_loop,Float32,4,12,64,64,false,4.106670e-05,6.416672e-07
m2l_z_translation,dense,Float32,4,12,64,64,false,1.169170e-05,1.826828e-07
m2l_z_translation,dense_packed,Float32,4,12,64,64,false,2.625000e-05,4.101562e-07
m2l_z_translation,compiled_block_loop,Float32,4,12,64,64,false,4.105830e-05,6.415359e-07
l2l_z_translation,dense,Float32,4,12,64,64,false,1.167080e-05,1.823563e-07
l2l_z_translation,dense_packed,Float32,4,12,64,64,false,2.628330e-05,4.106766e-07
l2l_z_translation,compiled_block_loop,Float32,4,12,64,64,false,4.105830e-05,6.415359e-07
axis_swap,dense,Float32,4,12,64,64,false,2.382080e-05,3.722000e-07
axis_swap,dense_packed,Float32,4,12,64,64,false,5.111250e-05,7.986328e-07
axis_swap,compiled_block_loop,Float32,4,12,64,64,false,1.279590e-04,1.999359e-06
