case,class,sigma_bin,output,rank,svd_relative_rms,singular_value
rotor,self,1.000,uj,19,6.958143881e-01,6.777852571e+01
rotor,self,1.000,uj,20,6.889578629e-01,6.777852241e+01
rotor,self,1.000,uj,21,6.820324124e-01,6.777852095e+01
rotor,self,1.000,uj,22,6.750359152e-01,6.777851901e+01
rotor,self,1.000,uj,23,6.679661389e-01,6.777851649e+01
rotor,self,1.000,uj,24,6.608207315e-01,6.777851463e+01
rotor,self,1.000,uj,25,6.535972124e-01,6.777851292e+01
rotor,self,1.000,uj,26,6.462929628e-01,6.777851013e+01
rotor,self,1.000,uj,27,6.389052135e-01,6.777850863e+01
rotor,self,1.000,uj,28,6.314310338e-01,6.777850722e+01
rotor,self,1.000,uj,29,6.238673179e-01,6.777850239e+01
rotor,self,1.000,uj,30,6.162316307e-01,6.768666515e+01
rotor,self,1.000,uj,31,6.085001360e-01,6.768666380e+01
rotor,self,1.000,uj,32,6.006691382e-01,6.768664480e+01
rotor,self,1.000,uj,33,5.927346912e-01,6.768663575e+01
rotor,self,1.000,uj,34,5.846925825e-01,6.768663133e+01
rotor,self,1.000,uj,35,5.765383089e-01,6.768661796e+01
rotor,self,1.000,uj,36,5.682670391e-01,6.768661609e+01
rotor,self,1.000,uj,37,5.598735890e-01,6.768660968e+01
rotor,self,1.000,uj,38,5.513523775e-01,6.768660754e+01
rotor,self,1.000,uj,39,5.426973869e-01,6.768660396e+01
rotor,self,1.000,uj,40,5.339021106e-01,6.768660238e+01
rotor,self,1.000,uj,41,5.249594975e-01,6.768660075e+01
rotor,self,1.000,uj,42,5.158618860e-01,6.768659721e+01
rotor,self,1.000,uj,43,5.066009249e-01,6.768659629e+01
rotor,self,1.000,uj,44,4.971674879e-01,6.768658816e+01
rotor,self,1.000,uj,45,4.875515635e-01,6.768658080e+01
rotor,self,1.000,uj,46,4.777582378e-01,6.763155006e+01
rotor,self,1.000,uj,47,4.677599260e-01,6.763152200e+01
rotor,self,1.000,uj,48,4.575431993e-01,6.763146397e+01
rotor,self,1.000,uj,49,4.470930700e-01,6.763145235e+01
rotor,self,1.000,uj,50,4.363927701e-01,6.763144358e+01
rotor,self,1.000,uj,51,4.254234217e-01,6.763143826e+01
rotor,self,1.000,uj,52,4.141636467e-01,6.763143639e+01
rotor,self,1.000,uj,53,4.025890782e-01,6.763143230e+01
rotor,self,1.000,uj,54,3.906717369e-01,6.763143090e+01
rotor,self,1.000,uj,55,3.783792371e-01,6.763142729e+01
rotor,self,1.000,uj,56,3.656737457e-01,6.763142667e+01
rotor,self,1.000,uj,57,3.525106099e-01,6.763142447e+01
rotor,self,1.000,uj,58,3.388364977e-01,6.763142383e+01
rotor,self,1.000,uj,59,3.245868372e-01,6.763142140e+01
rotor,self,1.000,uj,60,3.096821892e-01,6.763141867e+01
rotor,self,1.000,uj,61,2.940229621e-01,6.763141698e+01
rotor,self,1.000,uj,62,2.806501093e-01,6.097802320e+01
rotor,self,1.000,uj,63,2.666475555e-01,6.089285095e+01
rotor,self,1.000,uj,64,2.518928796e-01,6.084249785e+01
rotor,self,1.000,uj,65,2.383610375e-01,5.665521371e+01
rotor,self,1.000,uj,66,2.242355740e-01,5.622810691e+01
rotor,self,1.000,uj,67,2.142891692e-01,4.593894317e+01
rotor,self,1.000,uj,68,2.047608156e-01,4.395342594e+01
rotor,self,1.000,uj,69,1.948897661e-01,4.368906758e+01
rotor,self,1.000,uj,70,1.845131264e-01,4.364450489e+01
rotor,self,1.000,uj,71,1.740276481e-01,4.264953334e+01
rotor,self,1.000,uj,72,1.632426069e-01,4.195182036e+01
rotor,self,1.000,uj,73,1.538602418e-01,3.794085565e+01
rotor,self,1.000,uj,74,1.443050408e-01,3.712781018e+01
rotor,self,1.000,uj,75,1.351547662e-01,3.517447511e+01
rotor,self,1.000,uj,76,1.264830144e-01,3.313252482e+01
rotor,self,1.000,uj,77,1.184897810e-01,3.078017346e+01
rotor,self,1.000,uj,78,1.099909000e-01,3.065183641e+01
rotor,self,1.000,uj,79,1.031186969e-01,2.661952995e+01
rotor,self,1.000,uj,80,9.764792231e-02,2.305266020e+01
rotor,self,1.000,uj,81,9.358613052e-02,1.938618388e+01
rotor,self,1.000,uj,82,8.949552791e-02,1.903561663e+01
rotor,self,1.000,uj,83,8.521547417e-02,1.902109974e+01
rotor,self,1.000,uj,84,8.106331820e-02,1.827705191e+01
rotor,self,1.000,uj,85,7.690785172e-02,1.782172318e+01
rotor,self,1.000,uj,86,7.293073971e-02,1.698034997e+01
rotor,self,1.000,uj,87,6.896795570e-02,1.649454298e+01
rotor,self,1.000,uj,88,6.576760778e-02,1.444410389e+01
